original_column_name,column_name,column_description,data_format,value_description
financeregistry,,VARCHAR(20). Unique financials registry identifier. PK.,character varying,
findistref,,VARCHAR(20). Disaster event reference. FK to DisasterEvents.,character varying,
fin_ops_ref,,VARCHAR(20). Operations reference. FK to Operations.,character varying,
budgetallotusd,,"TEXT. Allotted budget in USD. Example: $4,227,090.00.",text,
funds_util_pct,,TEXT. Percentage of funds utilized. Example: 9.8%.,text,
costbeneusd,,TEXT. Cost-benefit ratio in USD. Example: $844.12.,text,
ops_costs_usd,,REAL. Operational costs in USD. Example: 88256.,real,
transportcostsusd,,BIGINT. Transportation costs in USD. Example: 976202.,bigint,
storage_costs_usd,,REAL. Storage costs in USD. Example: 111548.,real,
personnelcostsusd,,REAL. Personnel costs in USD. Example: 364821.,real,
funding_state,,"TEXT. Funding state. Possible values: Adequate, Critical, Limited.",text,
donor_commitments_usd,,REAL. Donor commitments in USD. **NULL means no donor commitments.**. Example: 4068978.0.,real,
resource_gaps_usd,,BIGINT. Resource gaps in USD. Example: 95367.,bigint,
