original_column_name,column_name,column_description,data_format,value_description
surf_id,,BIGSERIAL. Unique identifier for each surface and physical reading. PK.,bigint,
env_link,,TEXT. Reference to the environmental reading. FK to EnvironmentalReadingsCore.monitor_code.,text,
vibra_mms2,,REAL. Vibration measurements in millimeters squared. Example: 0.461.,real,
noise_dB,,BIGINT. Noise level measurement in decibels. Example: 47.,bigint,
dust_Mg_m2,,REAL. Dust level in milligrams per square meter. Example: 1.74.,real,
microbe_CFU,,BIGINT. Microbial colony-forming units (CFU) detected. Example: 234.0.,bigint,
moldIdx,,REAL. Mold index indicating the level of mold presence. Example: 0.1.,real,
pestActivity,,"TEXT. Recorded pest activity level. **NULL means no pest activity reported.**. Possible values: High, Low, Medium.",text,
pestTrap,,BIGINT. Number of pest traps set. Example: 10.,bigint,
pestSpecies,,"TEXT. Species of pests detected. **NULL means no species identified.**. Possible values: Beetles, Booklice, Moths, Silverfish.",text,
surface_pH,,REAL. pH level of the surface. Example: 6.7.,real,
moist_pct,,REAL. Moisture percentage on the surface. Example: 10.3.,real,
saltRisk,,"TEXT. Risk level due to salt exposure. Possible values: High, Low, Medium.",text,
metalCorr,,REAL. Metal corrosion rate on the surface. Example: 0.04.,real,
organicDeg,,REAL. Organic degradation rate. Example: 0.47.,real,
deltaE,,REAL. Color difference in surface due to environmental factors. Example: 1.99.,real,
surfTemp,,REAL. Temperature of the surface. Example: 19.11.,real,
surfRH,,REAL. Relative humidity on the surface. Example: 45.46.,real,
condRisk,,"TEXT. Risk of damage due to environmental conditions. Possible values: High, Low, Medium.",text,
thermalImg,,"TEXT. Thermal image data of the surface. **NULL means no thermal image provided.**. Possible values: Attention Required, Critical, Normal.",text,
structStable,,"TEXT. Structural stability condition. **NULL means no stability data provided.**. Possible values: Major Issues, Minor Issues, Stable.",text,
crackNote,,"TEXT. Notes about any cracks detected on the surface. Possible values: Minor Changes, No Changes, Significant Changes.",text,
deform_mm,,REAL. Deformation in millimeters. Example: 0.08.,real,
wtPct,,REAL. Weight percentage of certain materials on the surface. Example: -0.001.,real,
surfDust,,BIGINT. Amount of dust detected on the surface. Example: 5.7.,bigint,
O2_pct,,REAL. Oxygen percentage in the surface environment. Example: 20.8.,real,
N2_pct,,REAL. Nitrogen percentage in the surface environment. Example: 78.75.,real,
