original_column_name,column_name,column_description,data_format,value_description
compbankref,,A VARCHAR(20) primary key referencing bank_and_transactions(BankExpRef).,character varying,
sancresult,,"An enum (SanctionsScreeningResult_enum) for sanctions screening (Fail, Flag, Pass).",USER-DEFINED,
pepresult,,"An enum (PEPScreeningResult_enum) for PEP screening (Flag, Pass, Fail).",USER-DEFINED,
legalstat,,"An enum (LegalStatus_enum) describing legal status (Clear, Under Review, Restricted).",USER-DEFINED,
regcompliance,,"An enum (RegulatoryCompliance_enum) capturing compliance (Non-compliant, Compliant).",USER-DEFINED,
credscore,,"A SMALLINT holding the credit score (e.g., '720').",smallint,
risklev,,"An enum (RiskLevel_enum) denoting risk level (Low, Medium, High, Very High).",USER-DEFINED,
defhist,,"An enum (PaymentHistory_enum) indicating default history. Possible values: Poor, Fair, Good, Excellent, Current, Past.",USER-DEFINED,
delinqcount,,"A SMALLINT counting delinquencies (e.g., '2').",smallint,
latepaycount,,"A SMALLINT counting late payments (e.g., '1').",smallint,
collacc,,"An INTEGER representing how many collection accounts (e.g., '0').",integer,
choffs,,"A SMALLINT for number of charge-offs (e.g., '1').",smallint,
bankr,,"A SMALLINT indicating how many bankruptcies (e.g., '0').",smallint,
taxlien,,"A SMALLINT for any tax liens (e.g., '0').",smallint,
civiljudge,,"A SMALLINT counting civil judgments (e.g., '1').",smallint,
credinq,,"A SMALLINT for total credit inquiries (e.g., '3').",smallint,
hardinq,,"A SMALLINT for hard inquiries (e.g., '2').",smallint,
softinq,,"A SMALLINT for soft inquiries (e.g., '1').",smallint,
credrepdisp,,"A VARCHAR(50) capturing credit report disputes or notes (e.g., '2 disputes').",character varying,
credageyrs,,"A SMALLINT storing how many years of credit history (e.g., '10').",smallint,
oldaccage,,"A SMALLINT age in years of the oldest account (e.g., '15').",smallint,
