original_column_name,column_name,column_description,data_format,value_description
financeregistry,,"A VARCHAR(20) primary key uniquely identifying each financial record (e.g., 'FIN0001').",character varying,
findistref,,"A VARCHAR(20) referencing DisasterEvents(DistRegistry), tying finances to a specific event (e.g., 'DIST0001').",character varying,
finopsref,,"A VARCHAR(20) referencing Operations(OpsRegistry), linking finances to operations (e.g., 'OPS0001').",character varying,
budgetallotusd,,"A DECIMAL(16,3) for the allocated budget in USD (e.g., 1000000.000).",numeric,
fundsutilpct,,"A DECIMAL(7,3) measuring percentage of utilized funds (e.g., 75.500).",numeric,
costbeneusd,,"A NUMERIC(14,3) capturing the cost per beneficiary in USD (e.g., 15.250).",numeric,
opscostsusd,,"A DECIMAL(15,2) describing total operational costs (e.g., 350000.00).",numeric,
transportcostsusd,,"An INT representing transportation costs (e.g., 15000).",integer,
storagecostsusd,,"A NUMERIC(13,3) detailing storage costs (e.g., 8000.000).",numeric,
personnelcostsusd,,"A DECIMAL(15,4) enumerating personnel costs in USD (e.g., 50000.0000).",numeric,
fundingstate,,"An enum (FundingState_enum) labeling funding status; values: 'Critical', 'Adequate', 'Limited'.",USER-DEFINED,
donorcommitmentsusd,,"A DECIMAL(14,2) representing pledged donor funds (e.g., 200000.00).",numeric,
resourcegapsusd,,"An INT recording the gap in resources needed (e.g., 50000).",integer,
