original_column_name,column_name,column_description,data_format,value_description
patkey,,"A VARCHAR(20) primary key uniquely identifying each patient (e.g., 'PAT001').",character varying,
patage,,A SMALLINT indicating the patient's age in years.,smallint,
patgender,,"An enum (patientgender_enum) for the patient's gender (Other, F, M).",USER-DEFINED,
pateth,,"An enum (patientethnicity_enum) indicating the patient's ethnicity (Other, Hispanic, African, Asian, Caucasian).",USER-DEFINED,
edulevel,,"An enum (educationlevel_enum) describing highest education achieved (High School, Other, Bachelor, Master, Doctorate).",USER-DEFINED,
empstat,,"An enum (employmentstatus_enum) capturing employment status (Retired, Employed, Unemployed, Disabled, Student).",USER-DEFINED,
maristat,,"An enum (maritalstatus_enum) describing marital status (Widowed, Married, Single, Divorced).",USER-DEFINED,
livingarr,,"An enum (livingarrangement_enum) for living arrangement (Alone, Partner, Family, Group Home, Homeless).",USER-DEFINED,
insurtype,,"An enum (insurancetype_enum) referencing type of insurance (Medicaid, Medicare, Private).",USER-DEFINED,
insurstat,,"An enum (insurancestatus_enum) describing insurance status (Pending, Approved, Denied).",USER-DEFINED,
disabstat,,"An enum (disabilitystatus_enum) indicating disability status (Pending, Permanent, Temporary).",USER-DEFINED,
housestable,,"An enum (housingstability_enum) describing housing stability (Homeless, Stable, At Risk, Unstable).",USER-DEFINED,
cultfactor,,"An enum (culturalfactors_enum) capturing relevant cultural factors (Language, Beliefs, Family, Multiple).",USER-DEFINED,
stigmaimp,,"An enum (stigmaimpact_enum) describing stigma impact (Moderate, Mild, Severe).",USER-DEFINED,
finstress,,"An enum (financialstress_enum) describing financial stress level (Severe, Mild, Moderate).",USER-DEFINED,
clinleadref,,,character varying,
