original_column_name,column_name,column_description,data_format,value_description
containregistry,,A VARCHAR(20) primary key uniquely identifying each container record.,character varying,
containmodel,,A VARCHAR(40) naming or describing the container model/type.,character varying,
volliters,,An INTEGER specifying the container's internal volume in liters.,integer,
masskg,,"A REAL number for the container’s mass in kilograms (when empty, if applicable).",real,
containflag,,"A VARCHAR(30) field capturing a container status or classification (e.g., ‘In Transit’, ‘Active’, ‘Return’, ‘Delivered’).",character varying,
coolkind,,"A VARCHAR(40) describing the coolant type used within the container (e.g., Dry Ice, Liquid Nitrogen, Phase Change Material).",character varying,
coolmass,,A REAL number indicating the mass (in kilograms) of the coolant present.,real,
coolremainpct,,"A DECIMAL(5,2) representing the remaining percentage of coolant.",numeric,
coolrefills,,A SMALLINT count of how many times coolant has been refilled.,smallint,
refilllatest,,A DATE recording the most recent coolant refill date.,date,
refillnext,,A DATE for the scheduled or expected next refill date.,date,
batterypct,,"A REAL percentage of the container’s internal battery level, if battery-powered components exist.",real,
pwrfeed,,"A VARCHAR(40) indicating the primary power feed or source (e.g., Battery, External, Hybrid).",character varying,
pwrbackupflag,,"A VARCHAR(40) specifying backup power availability status (e.g., Available, In Use, Not Available).",character varying,
shipown,,A VARCHAR(20) foreign key referencing Shipments(ShipmentRegistry). Links this container to a shipment.,character varying,
