original_column_name,column_name,column_description,data_format,value_description
SYS_MON_PIVOT,,BIGSERIAL. Unique system-monitoring record identifier. PK.,bigint,
APIRQTotal,,BIGINT. Total API requests processed. **NULL means API request total not recorded.**. Example: 7728.0.,bigint,
apiErrTOTAL,,BIGINT. Total API error count. Example: 4.,bigint,
ApiLatMark,,REAL. API latency marker in milliseconds. **NULL means latency not measured.**. Example: 547.0.,real,
WS_STATE,,"TEXT. WebSocket subsystem state. Possible values: Connected, Disconnected.",text,
RateRemain,,BIGINT. Remaining rate-limit quota. Example: 939. Example: 939.,bigint,
lastUpdNote,,TEXT. Notes for the last system update. Example: 9340653.,text,
SeqCode,,TEXT. Sequence code for deployments. **NULL means sequence code not set.**. Example: 6559236.0. Example: 6559236.0.,text,
SLIP_ratio,,REAL. Slippage ratio indicator. Example: -0.0077.,real,
ExecTimeSpan,,REAL. Execution time span metric. **NULL means execution time span not captured.**. Example: 203.0. Example: 203.0.,real,
queue_LINE,,BIGINT. Queue length indicator. Example: 810.,bigint,
mktEffect,,REAL. Market-impact metric. Example: 0.0014.,real,
Price_Effect,,REAL. Price-impact metric. Example: 0.0039.,real,
