original_column_name,column_name,column_description,data_format,value_description
sitekey,,TEXT. Unique identifier for the solar power plant. Example: SP9227.,text,
sitelabel,,TEXT. Name or description of the solar facility. Example: Solar Plant West Davidport.,text,
cap_mw,,REAL. Total installed capacity in megawatts. Example: 257.58.,real,
goliveon,,DATE. Date when the plant became operational. Example: 43159.,date,
modhook,,TEXT. Foreign-key referencing panel_models.ModKey. Links to panel model details.,text,
tiltdeg,,REAL. Angle of panel tilt from horizontal. Example: 1.2.,real,
azmdeg,,REAL. Panel orientation relative to true north. Example: 169.8.,real,
recyclenote,,"TEXT. Status of panel recycling program. NULL means the encoder does not report status or data are missing. Possible values: Available, In Development.",text,
docstate,,"TEXT. Completeness status of plant documentation. Possible values: Complete, Missing, Partial.",text,
warrstate,,"TEXT. Current status of equipment warranty. NULL means the encoder does not report status or data are missing. Possible values: Active, Claimed, Expired.",text,
warrclaims,,"BIGINT. Number of warranty claims made. NULL means the encoder does not report status or data are missing. Possible values: 0.0, 1.0, 2.0, 3.0, 4.0, 5.0.",bigint,
insurstate,,"TEXT. Current insurance coverage status. Possible values: Covered, Expired, Partial.",text,
complyflag,,"TEXT. Compliance status with regulations. Possible values: Compliant, Non-Compliant, Under Review.",text,
envtag,,"TEXT. Environmental impact classification. Possible values: High, Low, Medium.",text,
