original_column_name,column_name,column_description,data_format,value_description
orderspivot,,"A BIGSERIAL primary key uniquely identifying each order (e.g., 15002).",bigint,
recordvault,,"A CHAR(36) unique order reference (e.g., '58d9c141-7f13-4cd3-ba93-f520bf922f7c').",character,
timecode,,"A TIMESTAMP recording order creation (e.g., '2025-05-10 13:45:00').",timestamp without time zone,
exchspot,,"A CHAR(10) referencing the exchange ID (e.g., 'BINANCE').",character,
mktnote,,"A VARCHAR(30) naming the market pair or trading symbol (e.g., 'BTC/USDT').",character varying,
orderstamp,,"A CHAR(36) external or client order ID (e.g., 'CL-3c4a8f89-9aed').",character,
userlink,,"A CHAR(36) FK to Users(UserStamp), linking this order to its owner.",character,
ordertune,,"An enum (OrderTune_enum) describing order type (Stop, Market, Limit, StopLimit).",USER-DEFINED,
dealedge,,"An enum (DealEdge_enum) indicating side (Sell, Buy).",USER-DEFINED,
dealquote,,"A DECIMAL(12,3) capturing the limit or stop price (e.g., '27800.500').",numeric,
dealcount,,"A NUMERIC(12,4) for the order quantity (e.g., '0.1250').",numeric,
notionsum,,"A DECIMAL(12,3) notional value (price × quantity) (e.g., '3475.063').",numeric,
orderflow,,"An enum (OrderFlow_enum) describing the status (New, PartiallyFilled, Cancelled, Filled).",USER-DEFINED,
timespan,,"An enum (TimeSpan_enum) for time-in-force (IOC, GTC, GTD, FOK).",USER-DEFINED,
orderbase,,"An enum (OrderBase_enum) indicating how the order was placed (API, Web, Mobile, Bot).",USER-DEFINED,
clientmark,,"A VARCHAR(80) holding an optional client-supplied tag (e.g., 'myXtrOrder001').",character varying,
createspot,,"A TIMESTAMP showing when the order was first persisted (e.g., '2025-05-10 13:45:00').",timestamp without time zone,
updatespot,,"A TIMESTAMP noting the last update to this order (e.g., '2025-05-10 14:02:15').",timestamp without time zone,
