original_column_name,column_name,column_description,data_format,value_description
mechactref,,VARCHAR(20) referencing actuation_data(ActReg). Relates mechanical status to actuation context.,character varying,
mechoperref,,VARCHAR(20) referencing operation(OperReg).,character varying,
mechdetref,,VARCHAR(20) referencing robot_details(BotDetReg).,character varying,
brk1statval,,"VARCHAR(20) capturing brake 1 status (e.g., 'Normal', 'Warning', 'Error').",character varying,
brk2statval,,"VARCHAR(30) for brake 2 status (e.g., 'Error', 'Warning', 'Normal').",character varying,
brk3statval,,"VARCHAR(25) storing brake 3 status (e.g., 'Normal', 'Error', 'Warning').",character varying,
brk4statval,,"VARCHAR(25) describing brake 4 status (e.g., 'Warning', 'Normal', 'Error').",character varying,
brk5statval,,"VARCHAR(55) capturing brake 5 status (e.g., 'Warning', 'Error', 'Normal').",character varying,
brk6statval,,"VARCHAR(25) referencing brake 6 status (e.g., 'Normal', 'Warning', 'Error').",character varying,
enc1statval,,"VARCHAR(35) summarizing encoder 1 status (e.g., 'Warning', 'Normal', 'Error').",character varying,
enc2statval,,"VARCHAR(20) capturing encoder 2 status (e.g., 'Error', 'Warning', 'Normal').",character varying,
enc3statval,,"VARCHAR(40) referencing encoder 3 status string (e.g., 'Normal', 'Error', 'Warning').",character varying,
enc4statval,,"VARCHAR(45) describing encoder 4 condition (e.g., 'Normal', 'Error', 'Warning').",character varying,
enc5statval,,"VARCHAR(25) for encoder 5 status (e.g., 'Normal', 'Warning', 'Error').",character varying,
enc6statval,,"VARCHAR(20) storing encoder 6 status string (e.g., 'Normal', 'Warning', 'Error').",character varying,
gb1tempval,,"NUMERIC(6,2) gearbox 1 temperature reading.",numeric,
gb2tempval,,REAL capturing gearbox 2 temperature as a float.,real,
gb3tempval,,FLOAT(5) approximate float for gearbox 3 temperature.,real,
gb4tempval,,"NUMERIC(7,3) gearbox 4 temperature with 3 decimals.",numeric,
gb5tempval,,REAL storing gearbox 5 temperature.,real,
gb6tempval,,FLOAT(5) approximate float for gearbox 6 temperature.,real,
gb1vibval,,"NUMERIC(6,3) gearbox 1 vibration measure.",numeric,
gb2vibval,,REAL capturing gearbox 2 vibration amplitude.,real,
gb3vibval,,FLOAT(4) approximate float for gearbox 3 vibration.,real,
gb4vibval,,"NUMERIC(5,3) gearbox 4 vibration measure.",numeric,
gb5vibval,,REAL storing gearbox 5 vibration level.,real,
gb6vibval,,FLOAT(5) approximate float for gearbox 6 vibration.,real,
