original_column_name,column_name,column_description,data_format,value_description
loggerreg,,A VARCHAR(20) primary key uniquely identifying each data logger record.,character varying,
logflag,,"An enum (DataLoggerStatus_enum) indicating the logger’s status (e.g., 'Malfunction', 'Battery Low', 'Active').",USER-DEFINED,
loginterval,,A SMALLINT specifying the frequency (in minutes) at which the logger records or transmits data.,smallint,
transmitflag,,"An enum (TransmissionStatus_enum) indicating the data transmission status (e.g., 'Failed', 'Real-time', 'Delayed').",USER-DEFINED,
datauptime,,A TIMESTAMP showing the logger’s current or last recorded operational uptime reading.,timestamp without time zone,
datapct,,A REAL value reflecting the logger’s used data capacity or data completeness in percentage.,real,
batteryswap,,A DATE noting when the data logger battery was last replaced or swapped.,date,
firmvers,,A VARCHAR(50) naming the firmware version installed on the data logger.,character varying,
softupdate,,A TEXT field for recording any software update notes or logs.,text,
syshealth,,"An enum (SystemHealth_enum) describing the logger’s system health (e.g., 'Poor', 'Fair', 'Good').",USER-DEFINED,
memusepct,,A SMALLINT for the percentage of the logger’s internal memory currently in use.,smallint,
storecapmb,,An INTEGER representing the logger’s total storage capacity in megabytes.,integer,
storeremainmb,,An INTEGER indicating remaining/free storage in megabytes.,integer,
netsignal,,"An enum (NetworkSignal_enum) representing network signal strength (e.g., 'Poor', 'Good', 'Excellent').",USER-DEFINED,
commproto,,"A VARCHAR(20) naming the communication protocol (e.g., RF, Bluetooth, Satellite, GSM).",character varying,
syncflag,,"A VARCHAR(20) describing synchronization status (e.g., 'Pending', 'Success', 'Failed').",character varying,
syncfreqhr,,A SMALLINT indicating how often (in hours) synchronization is attempted or performed.,smallint,
containlog,,A VARCHAR(20) foreign key referencing Container(ContainRegistry). Connects the data logger to a container.,character varying,
shiplog,,A VARCHAR(20) foreign key referencing Shipments(ShipmentRegistry). Optionally links the data logger to a shipment.,character varying,
