column_name,column_type,column_description,sample_value,ref_key
fdic_supervisory_region,TEXT,"The supervisory FDIC office assigned to the institution.  The eight FDIC Supervisory Regions and their respective states are:    Boston - Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont  New York - Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Puerto Rico, U.S. Virgin Islands  Atlanta - Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia, West Virginia  Memphis - Arkansas, Kentucky, Louisiana, Mississippi, Tennessee  Chicago - Illinois, Indiana, Michigan, Ohio, Wisconsin   Kansas City - Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota  Dallas - Colorado, New Mexico, Oklahoma, Texas  San Francisco - Alaska, American Samoa, Arizona, California, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, States of Micronesia, Utah, Washington, Wyoming","[""Atlanta""]",
trade_name_2,TEXT,Trade name other than the institution's legal name used to identify one of the institution's physical offices at which deposits are accepted or solicited from the public,[],
change_code_12,TEXT,FDIC code used to signify a structural event relating to an institution.  The definitions of the codes are available in the `bigquery-public-data.fdic_banks.change_codes`,[],
change_code_10,TEXT,FDIC code used to signify a structural event relating to an institution.  The definitions of the codes are available in the `bigquery-public-data.fdic_banks.change_codes`,[],
fdic_insured,BOOLEAN,Includes institutions insured by the FDIC.,[true],
ag_lending_flag,BOOLEAN,A flag used to indicate whether an institution is an agricultural lending institution,[],
total_assets,NUMBER,"The sum of all assets owned by the institution including cash, loans, securities, bank premises and other assets. This total does not include off-balance-sheet accounts.",[],
csa_indicator,BOOLEAN,A flag used to indicate whether an institution is in a Combined Statistical Area.,"[true, false]",
change_code_13,TEXT,FDIC code used to signify a structural event relating to an institution.  The definitions of the codes are available in the `bigquery-public-data.fdic_banks.change_codes`,[],
total_deposits,NUMBER,"The sum of all deposits including demand deposits, money market deposits, other savings deposits, time deposits and deposits in foreign offices.",[],
fed_reserve_unique_id,TEXT,A unique number assigned by the Federal Reserve board as the entity's unique identifier,"[""499734"", ""2720740"", ""388539""]",
cbsa_micro_flag,BOOLEAN,"A flag used to indicate whether an institution is in a micropolitan statistical area. The US Census bureau office of Management and Budget defines the micropolitan statistical area. A core based statistical area associated with at least one urbanized area that has a population of at least 50,000. The micropolitan statistical area comprises the central county or counties containing the core, plus adjacent outlying counties having a high degree of social and economic integration with the central county as measured through commuting.","[false, true]",
denovo_institute,BOOLEAN,"A flag used to indicate whether an institution is a new institution (not a recharter). This flag is set quarterly. For instance, if REPDTE is 3/31/98 and DENOVO equals 1, the institution was a denovo during the first quarter of 1998.",[],
cbsa_fips_code,TEXT,"The numeric code that the U.S. Census Bureaus Office of Management and Budget assigns for the CBSA. The 2000 standards provide that each CBSA must contain at least one urban area of 10,000 or more population. Metropolitan and micropolitan statistical areas are two categories of core based statistical areas. If an institution is not defined as a CBSA, the value of the field will be zero. For more information see: http://www.census.gov/population/www/estimates/metroarea.html .","[""33860"", ""19300"", ""21640""]",
parent_fdic_cert,TEXT,"FDIC certificate number of the parent bank or savings institution with which the reported institution;s financial data has been consolidated. Beginning in March 1997, both the Thrift Financial Reports and Call Reports are completed on a fully consolidated basis. Previously, the consolidation of subsidiary depository institutions was prohibited. Now, parent institutions are required to file consolidated reports, while their subsidiary financial institutions are still required to file separate reports. Click on the certificate number to identify the parent bank or thrift.",[],
total_domestic_deposits,NUMBER,"The sum of all domestic office deposits, including demand deposits, money market deposits, other savings deposits and time deposits.",[],
fed_reserve_district_id,TEXT,"A number used to identify the Federal Reserve district in which the institution is located. 01 = Boston,  02 - New York, 03 = Philadelphia,  04 = Cleveland, 05 = Richmond, 06 = Atlanta, 07 = Chicago, 08 - St. Louis, 09 = Minneapolis, 10 - Kansas city, 11 = Dallas, 12 - San Francisco","[""6""]",
docket,TEXT,"An identification number assigned to institutions chartered by the office of thrift supervision or members of the federal housing finance board (FHFB) and formerly by the federal home loan bank board.  The value is ""00000"" for institutions not members of the FHFB.","[""0""]",
office_count_foreign,NUMBER,The number of foreign offices (outside the U.S.) operated by the institution.,[],
chartering_agency,TEXT,All Chartering Agencies - State and Federal  Comptroller of the Currency - Chartering authority for nationally chartered commercial banks and for federally chartered savings associations (The Office of Thrift Supervision (OTS) before 7/21/11)  State (includes U.S. Territories) - Chartering authority for institutions that are not chartered by the OCC or OTS,"[""OCC"", ""STATE""]",
roe_quarterly,FLOAT,Quarterly net income (including gains or losses on securities and extraordinary items) as a percentage of average total equity capital.,[],
quarterly_net_income,NUMBER,"Quarterly net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes.",[],
trade_name_5,TEXT,Trade name other than the institution's legal name used to identify one of the institution's physical offices at which deposits are accepted or solicited from the public,[],
city,TEXT,City in which an institution's headquarters or one of its branches is physically located.,"[""Prattville"", ""Robertsdale"", ""Gulf Shores""]",
fdic_geo_region,TEXT,"The FDIC Office assigned to the geographic area.  The eight FDIC Regions and their respective states are:    Boston - Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont  New York - Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Puerto Rico, U.S. Virgin Islands  Atlanta - Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia, West Virginia  Memphis - Arkansas, Kentucky, Louisiana, Mississippi, Tennessee  Chicago - Illinois, Indiana, Michigan, Ohio, Wisconsin   Kansas City - Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, South Dakota  Dallas - Colorado, New Mexico, Oklahoma, Texas  San Francisco - Alaska, American Samoa, Arizona, California, Guam, Hawaii, Idaho, Montana, Nevada, Oregon, States of Micronesia, Utah, Washington, Wyoming","[""5""]",
end_effective_date,DATE,"The date that ends or closes out the last structural event relating to an institution. For closed institutions, this date represents the day that the institution became inactive.","[""1983-11-18"", ""1983-10-14"", ""1983-09-23""]",
state_name,TEXT,"State in which the the institution is physically located. The FDIC Act defines state as any State of the United States, the District of Columbia, and any territory of the United States, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, the Virgin Island, and the Northern Mariana Islands.","[""Alabama""]",
rssd_id,TEXT,The unique number assigned by the Federal Reserve Board to the regulatory high holding company of the institution.,[],
report_date,DATE,The last day of the financial reporting period selected.,[],
office_count_domestic,NUMBER,The number of domestic offices (including headquarters) operated by active institutions in the 50 states of the U.S.A.,[],
trade_name_4,TEXT,Trade name other than the institution's legal name used to identify one of the institution's physical offices at which deposits are accepted or solicited from the public,[],
cfpb_supervisory_flag,BOOLEAN,Indicates secondary supervision by CFPB,[false],
office_count_us_territories,NUMBER,"The number of offices operated by an FDIC-insured institution in all commonwealths and terrirtories of the US, along with those in freely associated states under the Compact of Free Association",[],
state_chartered,BOOLEAN,A flag that indicates if an institution is state chartered.,"[false, true]",
institution_name,TEXT,The legal name of the institution.,"[""The First National Bank of Autauga County"", ""Baldwin National Bank"", ""State Bank of the Gulf""]",
