column_name,column_type,column_description,sample_value,ref_key
sample_is_ffpe,TEXT,"Whether a smaple is FFPE, either  False,  None ,  True, or null","[""True""]",
portion_barcode,TEXT,Original/submitter portion ID,"[""TCGA-BL-A13J-01B-04"", ""TCGA-BL-A0C8-01B-04""]",
project_id,TEXT,"ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.","[""TCGA-BLCA""]",
case_gdc_id,TEXT,GDC unique identifier,"[""556fcbc8-172a-4af1-8822-ae036e8d68e8"", ""a6003b1c-56a9-430a-a5e2-b70af3f81bdb""]",
analyte_gdc_id,TEXT,Analyte GDC ID,"[""a7ff83a3-f404-42c7-aacc-979a35ec297f"", ""ec3dc318-0c0a-4ff4-9a45-fbe47bac546a"", ""4a80ca54-0dfb-4242-890d-cd1cba76a3db""]",
sample_gdc_id,TEXT,"Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal","[""a696305c-e8c6-40d3-aa4c-1738d0987885"", ""5365eef9-56ca-4e3f-a187-3316158c4a32""]",
sample_barcode,TEXT,Original/submitter sample ID,"[""TCGA-BL-A13J-01B"", ""TCGA-BL-A0C8-01B""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
case_barcode,TEXT,"Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc","[""TCGA-BL-A13J"", ""TCGA-BL-A0C8""]",
sample_preservation_method,TEXT,"Sample Preservation Method, usually null or  FFPE, also Snap Frozen or Frozen",[],
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-BL-A13J-01B-04D-A46W-08"", ""TCGA-BL-A13J-01B-04D-A276-05"", ""TCGA-BL-A13J-01B-04R-A27D-13""]",
analyte_barcode,TEXT,Original/submitter analyte ID,"[""TCGA-BL-A13J-01B-04D"", ""TCGA-BL-A13J-01B-04R"", ""TCGA-BL-A0C8-01B-04D""]",
sample_type_name,TEXT,"The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.","[""Primary Tumor""]",
portion_gdc_id,TEXT,Portion GDC ID,"[""c5a66d5e-2a67-43a7-8218-b97b2a7ad5ff"", ""6bfa3f4b-3d5c-4ec7-acb4-f4aa16734db8""]",
sample_type,TEXT,"Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.","[""01""]",
aliquot_gdc_id,TEXT,"Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal","[""a9a3c98d-6e7e-4a2c-afb1-cf9b220d78bc"", ""ea128964-6084-44d3-b744-25070caf09e8"", ""57d573f2-e36e-4598-b773-5060a08c5637""]",
