column_name,column_type,column_description,sample_value,ref_key
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Elk Falls city"", ""Goddard city"", ""Neosho Falls city""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""20300"", ""26725"", ""49825""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00Vq\\x99\\x89X\\x0cX\\xc0\\xe7\\x17\\xca.\\xbd\\xafB@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xee1GE\\xd2cX\\xc0q7\\xe3\\x8f\\xfd\\xd5B@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x07\\xb5\\xdf\\xda\\x89\\xe3W\\xc0}\\xbew\\xe5\\xc4\\x00C@')""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""20""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
place_name,TEXT,Full text name of the place,"[""Elk Falls"", ""Goddard"", ""Neosho Falls""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""2020300"", ""2026725"", ""2049825""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[1883473, 12697398, 1311906]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-96.1929039, -97.5597089, -95.555289]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[4226, 144170, 64324]",
place_gnis_code,TEXT,Current place GNIS code,"[""02394648"", ""02394919"", ""02395173""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[37.3729609, 37.6718006, 38.0060088]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
