column_name,column_type,column_description,sample_value,ref_key
costsold,NUMBER,Cost-of-goods-sold,[0],
contrpdpbks,NUMBER,Contributions gifts grants paid,"[37000, 7330, 0]",
propgndacd,TEXT,Propaganda?,"[""N""]",
furngoodscd,TEXT,Furnished goods?,"[""N""]",
qlfyassetc,NUMBER,Qualifying assets column c,[0],
progsrvcbcole,NUMBER,Program service revenue line 1b (exempt),[0],
propexchcd,TEXT,Property exchange?,"[""N""]",
grsprofitbus,NUMBER,Gross profit,[0],
distribamt,NUMBER,Distributable amount,"[0, 2595]",
excesshldcd,TEXT,Excess business holdings?,"[""N""]",
totinvstsec,NUMBER,Total investments in securities – e-o-y book value,"[132787, 0]",
estpnlty,NUMBER,Estimated tax penalty,[0],
trnsfrcashcd,TEXT,Transfer cash to noncharitable exempt organization?,"[""N""]",
printingpubl,NUMBER,Printing and publications,[0],
loansguarcd,TEXT,Loans or other guarantees?,"[""N""]",
tax_prd,TEXT,Tax period (YYYYMM format),"[""201312"", ""201212"", ""201403""]",
chgnprvrptcd,TEXT,Changes not previously reported?,"[""N""]",
totsuprttot,NUMBER,Total support total,[0],
grsinvstincd,NUMBER,Gross investment income column d,[0],
sec4940redtxcd,TEXT,Section 4940 – 1 % tax,"[""N""]",
endwmntscola,NUMBER,Endowments column a,[0],
totexpnsnetinc,NUMBER,Total expenses net investment income,"[671, 0]",
qlfydistribc,NUMBER,Qualifying distributions column c,[0],
crelamt,NUMBER,Credit elect amount,[0],
applyprovind,TEXT,Not applying section 4942(a)(2) provisions?,"[""N""]",
totexcapgnls,NUMBER,Capital gain net income,[0],
trcptadjnetinc,NUMBER,Total receipts adjusted net income,"[28195, 0]",
totsuprtcolc,NUMBER,Total support column c,[0],
totrcptperbks,NUMBER,Total revenue,"[28195, 5, 1]",
totaxpyr,NUMBER,Total excise tax,"[566, 0]",
endwmntscolc,NUMBER,Endowments column c,[0],
grsinvstinctot,NUMBER,Gross investment income total,[0],
grntindivcd,TEXT,Grant individual?,"[""N""]",
adjnetinc,NUMBER,Adjusted net income,"[27524, 0]",
grsinvstincb,NUMBER,Gross investment income column b,[0],
invstjexmptcd,TEXT,Jeopardizing investments?,"[""N""]",
txpaidf2758,NUMBER,Tax paid with Form 2758 (filing extension),[0],
pubsuprtcolb,NUMBER,Public support column b,[0],
intrstrvnue,NUMBER,Interest revenue,"[12783, 5, 0]",
