column_name,column_type,column_description,sample_value,ref_key
CATEGORY,TEXT,Category of the entity for a given RSSD. Branch or bank,"[""Branch""]",
ID_COUNTRY,TEXT,Unique identifier of the country where the entity is located,"[""country/USA""]",
IS_ACTIVE,BOOLEAN,Status of the branch to determine active or closed,"[true, false]",
ZIP_CODE,TEXT,Zip code the entity is physically located in,"[""02653"", ""92626"", ""11233""]",
END_DATE,DATE,Last date for which the branch was open. NULL if still active,"[""2024-08-27"", ""2024-07-31"", ""2024-08-16""]",
STATE_ABBREVIATION,TEXT,Abbreviation of the state the entity is physically located in,"[""MA"", ""CA"", ""NY""]",
ID_COUNTY,TEXT,Unique identifier of the county where the entity is located,"[""geoId/25001"", ""geoId/06059"", ""geoId/36047""]",
CITY,TEXT,City the entity is physically located in,"[""ORLEANS"", ""COSTA MESA"", ""BROOKLYN""]",
ADDRESS_LINE2,TEXT,Second line of the physical address at the street level,[],
NAME_PARENT,TEXT,Name of the parent bank,"[""JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"", ""WILMINGTON TRUST, NATIONAL ASSOCIATION"", ""FLAGSTAR BANK, NATIONAL ASSOCIATION""]",
ID_ZIP,TEXT,Unique identifier of the zip code where the entity is located,"[""zip/02653"", ""zip/92626"", ""zip/11233""]",
ADDRESS,TEXT,First line of the physical address at the street level,"[""9 WEST RD"", ""650 TOWN CENTER DRIVE"", ""1911 ATLANTIC AVE""]",
BRANCH_NAME,TEXT,Name of the banking branch,"[""ORLEANS"", ""COSTA MESA OFFICE"", ""BEDFORD-STUYVESANT (BED-STUY)""]",
START_DATE,DATE,First date for which the branch was open,"[""2024-08-13"", ""2008-12-31"", ""2024-07-22""]",
ID_RSSD,NUMBER,A unique identifier assigned by the Federal Reserve for the financial institution,"[5973668, 4270061, 5971589]",
ID_RSSD_PARENT,NUMBER,Unique identifier for the head office of the entity if the entity is a branch,"[852218, 2265456, 694904]",
ID_STATE,TEXT,Unique identifier of the state where the entity is located,"[""geoId/25"", ""geoId/06"", ""geoId/36""]",
