column_name,column_type,column_description,sample_value,ref_key
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-DK-A1A6-06A-11D-A42E-08"", ""TCGA-DK-A1A6-06A-11R-A42V-13"", ""TCGA-E2-A15E-06A-11W-A12S-09""]",
aliquot_gdc_id,TEXT,"Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal","[""1ca9ccad-2c41-4778-b8c5-fb3a12b39bb7"", ""73a0aae2-d022-4514-b86e-433decfc8fa8"", ""c764714e-faab-4b3e-b310-26c3ececeabe""]",
sample_type,TEXT,"Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc.","[""Metastatic""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
sample_gdc_id,TEXT,"Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal","[""f7f74a2b-5299-424d-b9a7-2b313dc7823c"", ""28462438-fe47-4880-82d9-ee43d534d8a3""]",
sample_type_id,NUMBER,Accompanying sample type ID for the sample type,[6],
portion_gdc_id,TEXT,Original/submitter portion ID,"[""5df8dcdf-6717-48b1-988d-5239a6f5bd69"", ""1716ea4f-0977-4fdd-a164-a3bde024fe96""]",
analyte_barcode,TEXT,Original/submitter analyte ID,"[""TCGA-DK-A1A6-06A-11D"", ""TCGA-DK-A1A6-06A-11R"", ""TCGA-E2-A15E-06A-11W""]",
sample_barcode,TEXT,Original/submitter sample ID,"[""TCGA-DK-A1A6-06A"", ""TCGA-E2-A15E-06A""]",
case_gdc_id,TEXT,GDC unique identifier,"[""9c274536-3ca1-4f0e-93a8-1688074d862f"", ""0a2a3529-f645-4967-9a58-89ee20b8bb62""]",
analyte_gdc_id,TEXT,Original/submitter analyte ID,"[""778c228e-2cbb-4a93-8284-420b1f58152c"", ""9759dbc9-0ad8-4fc7-acdb-5435d6469b46"", ""019f21a8-5b9f-43a6-ad17-f82b55ff35d8""]",
portion_barcode,TEXT,Original/submitter portion ID,"[""TCGA-DK-A1A6-06A-11"", ""TCGA-E2-A15E-06A-11""]",
project_id,TEXT,"ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc","[""TCGA-BLCA"", ""TCGA-BRCA""]",
case_barcode,TEXT,"Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc","[""TCGA-DK-A1A6"", ""TCGA-E2-A15E""]",
