column_name,column_type,column_description,sample_value,ref_key
prgmservcode2ccd,NUMBER,,"[0, 900099]",
invstmntsend,NUMBER,,"[0, 81128, 196501]",
temprstrctnetasstsend,NUMBER,,"[0, 3030, 30000]",
srvcsval170,NUMBER,,[0],
totrev2ccola,NUMBER,,"[0, 172690]",
totfuncexpns,NUMBER,,"[23236, 460000, 2064242]",
grsrcptsadmissn509,NUMBER,,"[292261, 0]",
dnradvisedfundscd,TEXT,,"[""N"", ""Y""]",
pubsuppsubtot170,NUMBER,,"[0, 529135, 2427209]",
totrevenue,NUMBER,,"[34158, 529672, 2098360]",
f8282cnt,NUMBER,,[0],
filedf1098ccd,TEXT,,"[""N""]",
grntspayableend,NUMBER,,[0],
occupancy,NUMBER,,"[0, 178197, 27560]",
s4966distribcd,TEXT,,"[""N""]",
othrsalwages,NUMBER,,"[0, 205408, 4597839]",
sellorexchcd,TEXT,,"[""N""]",
feesforsrvcmgmt,NUMBER,,[0],
lessdirgaming,NUMBER,,[0],
rptincfnndrsngcd,TEXT,,"[""Y"", ""N""]",
hospaudfinstmtcd,TEXT,,"[""N""]",
officexpns,NUMBER,,"[429, 0, 139447]",
qualhlthreqmntn,NUMBER,,[0],
txexmptbndcd,TEXT,,"[""N"", ""Y""]",
samepubsuppsubtot170,NUMBER,,"[0, 529135, 2427209]",
secrdmrtgsend,NUMBER,,"[0, 819271]",
compltschocd,TEXT,,"[""Y""]",
txrevnuelevied509,NUMBER,,[0],
ownsepentcd,TEXT,,"[""N""]",
netrntlinc,NUMBER,,[0],
infotech,NUMBER,,"[0, 38963, 15007]",
lessdirfndrsng,NUMBER,,"[0, 13037]",
txexmptbndsend,NUMBER,,"[0, 639788]",
cstbasisecur,NUMBER,,"[0, 5944]",
rptyestocompnstncd,TEXT,,"[""N"", ""Y""]",
invstproceedscd,TEXT,,"[""N""]",
miscrev11ccd,NUMBER,,[0],
frgnacctcd,TEXT,,"[""N""]",
totcomprelatede,NUMBER,,[0],
intangibleassetsend,NUMBER,,[0],
unrstrctnetasstsend,NUMBER,,"[0, 1630853, 1187834]",
profndraising,NUMBER,,[0],
converconventmtng,NUMBER,,"[0, 33380, 13122]",
grsalesinvent,NUMBER,,"[53951, 0]",
rntlincprsnl,NUMBER,,[0],
totrev2ecola,NUMBER,,[0],
