column_name,column_type,column_description,sample_value,ref_key
status,NUMBER,"Either 1 (success) or 0 (failure, due to any operation that can cause the call itself or any top-level call to revert)",[1],
transaction_index,NUMBER,Integer of the transactions index position in the block,"[59, 31, 66]",
call_type,TEXT,"One of call, callcode, delegatecall, staticcall",[],
block_hash,TEXT,Hash of the block where this trace was in,"[""0x51606e9793bac4bb00e7d48a40bd0fd56481c04927670e612bab4434f48e1765"", ""0xeed9fc4e077eeb8bbb4f8b90d8527a40acf24959f707c94794e85be594e5f74b"", ""0xbcc6d2d64847cf5d59a358773e3f61bc7b2b017788571f47aaeac8ea46a6d1a2""]",
gas,NUMBER,Gas provided with the message call,[],
gas_used,NUMBER,Gas used by the message call,[],
block_timestamp,NUMBER,Timestamp of the block where this trace was in,"[1476750975000000, 1476483740000000, 1476793175000000]",
reward_type,TEXT,"One of block, uncle",[],
output,TEXT,"The output of the message call, bytecode of contract when trace_type is create",[],
transaction_hash,TEXT,Transaction hash where this trace was in,"[""0xbe4d37ffd3ebbd7a13858793c00402993e28a4d16408c8a2d6ba8810fdb72999"", ""0x9914c06d31abf6025a7cb2589baac2d0a3f696d71444ce7b1c9c890e7b4694ed"", ""0xe7e4c5b85342c50fec604c504a6d2f2ea1dd24933f338b26565de53bf61e6d9b""]",
trace_address,TEXT,Comma separated list of trace address in call tree,"[""127,0"", ""93,0"", ""128,0""]",
block_number,NUMBER,Block number where this trace was in,"[2456721, 2437841, 2459505]",
from_address,TEXT,"Address of the sender, null when trace_type is genesis or reward","[""0xb95c2395ebb349d2058f0102e1ae483dcf3803fb"", ""0x03ceea9ea1bd690a28f74420adf3b50f89b66d58"", ""0x04ffc24161999f8461fe8129fd5145f9a35fd5b2""]",
subtraces,NUMBER,Number of subtraces,[0],
error,TEXT,Error if message call failed. This field doesn't contain top-level trace errors.,[],
trace_id,TEXT,,[],
value,NUMBER,Value transferred in Wei,"[""0E-9""]",
input,TEXT,The data sent along with the message call,[],
to_address,TEXT,"Address of the receiver if trace_type is call, address of new contract or null if trace_type is create, beneficiary address if trace_type is suicide, miner address if trace_type is reward, shareholder address if trace_type is genesis, WithdrawDAO address if trace_type is daofork","[""0x51a7c3e6e5514bea75f8d5f59e2e80a67728136b"", ""0x66726f6d7368616e67686169776974686c6f7665"", ""0xe06fc18d66e2c28e7cf755f698840df8d05c9ad6""]",
trace_type,TEXT,"One of call, create, suicide, reward, genesis, daofork","[""suicide""]",
