column_name,column_type,column_description,sample_value,ref_key
column,TEXT,,"[""title"", ""date_published"", ""duration""]",
Unnamed: 2,TEXT,,"[""""]",
Unnamed: 3,TEXT,,"[""""]",
Unnamed: 8,TEXT,,"[""""]",
Unnamed: 7,TEXT,,"[""""]",
table,TEXT,,"[""movie""]",
Unnamed: 12,TEXT,,"[""* movie_id"", ""total_votes"", ""median_rating""]",
Unnamed: 4,TEXT,,"[""""]",
Unnamed: 11,TEXT,,"[""""]",
Unnamed: 10,TEXT,,"[""""]",
Unnamed: 5,TEXT,,"[""""]",
Unnamed: 6,TEXT,,"[""""]",
Unnamed: 9,TEXT,,"[""* movie_id"", """"]",
