column_name,column_type,column_description,sample_value,ref_key
number_of_occupants_name,TEXT,,"[""None"", ""01""]",
cargo_body_type,NUMBER,,[0],
vin_character_11,TEXT,,"[""0""]",
month_of_crash_name,TEXT,,"[""August"", ""June"", ""January""]",
hazardous_material_placard_name,TEXT,,"[""Not Applicable""]",
make_model_combined,TEXT,,"[""Harley-Davidson Unknown cc"", ""Ford F-Series pickup"", ""Other Make Other (vehicle)""]",
related_factors_vehicle_level1_name,TEXT,,"[""None""]",
vehicle_trailing_name,TEXT,,"[""No Trailing Units"", ""Unknown""]",
ptrlr1vin,TEXT,,"[""777777777777""]",
vehicle_model_year_name,TEXT,,"[""1962"", ""1979"", ""2015""]",
registration_state,NUMBER,,"[39, 53, 0]",
hazardous_material_identification_number,NUMBER,,[0],
state_number,NUMBER,,"[39, 53, 13]",
vin_character_6,TEXT,,"[""2"", ""F"", ""0""]",
vehicle_identification_number_vin_name,TEXT,,"[""62FLH2360"", ""F14SRFA4970"", ""No VIN Required""]",
unit_type,NUMBER,,"[2, 3, 4]",
ptrlr1vinname,TEXT,,"[""No Trailing Units""]",
related_factors_vehicle_level2_name,TEXT,,"[""None""]",
vehicle_configuration_name,TEXT,,"[""Not Applicable""]",
motor_carrier_identification_number,TEXT,,"[""00000000000""]",
vin_character_3,TEXT,,"[""F"", ""4"", ""0""]",
hour_of_crash_name,TEXT,,"[""4:00pm-4:59pm"", ""11:00pm-11:59pm"", ""1:00pm-1:59pm""]",
related_factors_vehicle_level1,NUMBER,,[0],
gross_vehicle_weight_rating_name,TEXT,,"[""Not Applicable""]",
mcid_identification_number_name,TEXT,,"[""Not Applicable""]",
vehicle_make_name,TEXT,,"[""Harley-Davidson"", ""Ford"", ""Other Make""]",
fatalities_in_vehicle,NUMBER,,[0],
emergency_motor_vehicle_use,NUMBER,,[0],
vin_character_7,TEXT,,"[""3"", ""A"", ""0""]",
manner_of_collision,NUMBER,,"[0, 2]",
vehicle_trailing,NUMBER,,"[0, 9]",
motor_carrier_identification_number_name,TEXT,,"[""Not Applicable""]",
mcid_issuing_authority,NUMBER,,[0],
vin_character_10,TEXT,,"[""7"", ""0""]",
first_harmful_event_name,TEXT,,"[""Pedestrian"", ""Motor Vehicle In-Transport"", ""Culvert""]",
hazardous_material_involvement_name,TEXT,,"[""No""]",
ptrlr2vinname,TEXT,,"[""No Trailing Units""]",
month_of_crash,NUMBER,,"[8, 6, 1]",
release_of_hazardous_material_from_the_cargo_compartment,NUMBER,,[0],
hazardous_material_class_number_name,TEXT,,"[""Not Applicable""]",
consecutive_number,NUMBER,,"[390617, 530320, 130618]",
ptrlr2vin,TEXT,,"[""777777777777""]",
vin_character_2,TEXT,,"[""2"", ""1"", ""0""]",
hazardous_material_class_number,NUMBER,,[0],
underride_override_name,TEXT,,"[""No Underride or Override Noted""]",
number_of_motor_vehicles_in_transport_mvit,NUMBER,,"[1, 3]",
hazardous_material_identification_number_name,TEXT,,"[""Not Applicable""]",
unit_type_name,TEXT,,"[""Motor Vehicle Not In-Transport Within the Trafficway"", ""Motor Vehicle Not In-Transport Outside the Trafficway"", ""Working Motor Vehicle (highway construction, maintenance, utility only)""]",
state_name,TEXT,,"[""Ohio"", ""Washington"", ""Georgia""]",
vehicle_configuration,NUMBER,,[0],
underride_override,NUMBER,,[0],
extent_of_damage_name,TEXT,,"[""Minor Damage"", ""Not Reported"", ""Functional Damage""]",
vehicle_model,NUMBER,,"[709, 481, 998]",
release_of_hazardous_material_from_the_cargo_compartment_name,TEXT,,"[""Not Applicable""]",
vehicle_identification_number_vin,TEXT,,"[""62FLH2360"", ""F14SRFA4970"", ""000000000000""]",
hazardous_material_involvement,NUMBER,,[1],
vin_character_5,TEXT,,"[""H"", ""R"", ""0""]",
minute_of_crash_name,TEXT,,"[""37"", ""30"", ""12""]",
special_use_name,TEXT,,"[""No Special Use""]",
cargo_body_type_name,TEXT,,"[""Not Applicable (N/A)""]",
vin_character_8,TEXT,,"[""6"", ""4"", ""0""]",
fire_occurrence,NUMBER,,"[0, 1]",
mcid_identification_number,TEXT,,"[""000000000""]",
bus_use,NUMBER,,[0],
special_use,NUMBER,,[0],
registered_vehicle_owner_name,TEXT,,"[""Driverless/Motor Vehicle Parked/Stopped Off Roadway"", ""Not Applicable, Vehicle Not Registered""]",
bus_use_name,TEXT,,"[""Not a Bus""]",
vehicle_number,NUMBER,,"[2, 4]",
vehicle_removal,NUMBER,,"[8, 5]",
most_harmful_event_name,TEXT,,"[""Motor Vehicle In-Transport"", ""Fire/Explosion""]",
vin_character_1,TEXT,,"[""6"", ""F"", ""0""]",
vin_character_9,TEXT,,"[""0"", ""9""]",
body_type,NUMBER,,"[80, 34, 92]",
ptrlr3vin,TEXT,,"[""777777777777""]",
initial_contact_point,NUMBER,,"[3, 12, 10]",
related_factors_vehicle_level2,NUMBER,,[0],
gross_vehicle_weight_rating,NUMBER,,[0],
vehicle_removal_name,TEXT,,"[""Not Reported"", ""Not Towed""]",
hit_and_run_name,TEXT,,"[""No""]",
manner_of_collision_name,TEXT,,"[""Not a Collision with Motor Vehicle In-Transport"", ""Front-to-Front""]",
vin_character_12,TEXT,,"[""0""]",
mcid_issuing_authority_name,TEXT,,"[""Not Applicable""]",
registered_vehicle_owner,NUMBER,,"[6, 0]",
fire_occurrence_name,TEXT,,"[""No or Not Reported"", ""Yes""]",
ptrlr3vinname,TEXT,,"[""No Trailing Units""]",
vehicle_model_year,NUMBER,,"[1962, 1979, 2015]",
vin_character_4,TEXT,,"[""L"", ""S"", ""0""]",
day_of_crash,NUMBER,,"[20, 22, 6]",
hit_and_run,NUMBER,,[0],
minute_of_crash,NUMBER,,"[37, 30, 12]",
vehicle_make,NUMBER,,"[72, 12, 98]",
body_type_name,TEXT,,"[""Two Wheel Motorcycle (excluding motor scooters)"", ""Light Pickup"", ""Farm equipment other than trucks""]",
number_of_occupants,NUMBER,,"[0, 1]",
hazardous_material_placard,NUMBER,,[0],
initial_contact_point_name,TEXT,,"[""3 Clock Point"", ""12 Clock Point"", ""10 Clock Point""]",
extent_of_damage,NUMBER,,"[2, 8, 4]",
hour_of_crash,NUMBER,,"[16, 23, 13]",
registration_state_name,TEXT,,"[""Ohio"", ""Washington"", ""Not Applicable""]",
most_harmful_event,NUMBER,,"[12, 2]",
emergency_motor_vehicle_use_name,TEXT,,"[""Not Applicable""]",
day_of_crash_name,TEXT,,"[""20"", ""22"", ""6""]",
first_harmful_event,NUMBER,,"[8, 12, 32]",
