column_name,column_type,column_description,sample_value,ref_key
timestamp,NUMBER,Block creation timestamp specified in block header,"[1382772110000000, 1381711472000000, 1381707719000000]",
version,NUMBER,Protocol version specified in block header,[2],
merkle_root,TEXT,"The root node of a Merkle tree, where leaves are transaction hashes","[""dba81610e536ede695a2c299bb8a471d4b32315056ad7154d8297e53c10d220c"", ""5a1cb1fdbe3af8d344752f9d970fc779cf40ba62b0134b925936cf52c2ac0a01"", ""2c98100953de5ddf70a4c91859716e22e3cbdb9e7c1bad4dc7622bf925850093""]",
stripped_size,NUMBER,The size of block data in bytes excluding witness data,[],
hash,TEXT,Hash of this block,"[""0000000000000004753bd3347b58e55805fb17fb28116ca91962bd32e0fefdb9"", ""0000000000000000a9a4b9e17411828902e555579256fa34e87a406496ec36ba"", ""000000000000000cb4fe468e60bf9f1dd14fcd16c17e9ae2e89fa669c6d30f32""]",
size,NUMBER,The size of block data in bytes,"[49207, 41480, 42335]",
weight,NUMBER,Three times the base size plus the total size. https://github.com/bitcoin/bips/blob/master/bip-0141.mediawiki,[],
transaction_count,NUMBER,Number of transactions included in this block,"[100, 108, 118]",
nonce,TEXT,Difficulty solution specified in block header,"[""955c5059"", ""99aadaa6"", ""2d62d082""]",
number,NUMBER,The number of the block,"[266149, 263467, 263453]",
timestamp_month,DATE,Month of the block creation timestamp specified in block header,"[""2013-10-01""]",
coinbase_param,TEXT,Data specified in the coinbase transaction of this block,"[""03a50f040d00456c696769757300526b6d8efabe6d6db1b96fe338a37b475b3dbba779d15fa90d453e9ddc62a1ffde5f436add5b48770400000000000000002f737332352f00d0198964f87f000055c90000"", ""032b050489b2096ab46cce815bd53f1087583271a58e62d0cff9597fb16103a2d98025750400000000000000909f360300000000000018d7466f722050696572636520616e64205061756c"", ""031d0504062f503253482f04c52f5b520840076dcf000003f40d3962376332322f736c7573682f""]",
bits,TEXT,Difficulty threshold specified in block header,"[""190afc85"", ""1916b0ca"", ""191cdc20""]",
