column_name,column_type,column_description,sample_value,ref_key
rate_code,NUMBER,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,[1],
dropoff_longitude,FLOAT,,"[-73.978612, -74.014601, -74.004592]",
pickup_longitude,FLOAT,,"[-73.946717, -74.001188, -73.975242]",
pickup_datetime,NUMBER,The date and time when the meter was engaged,"[1358979223000000, 1362775905000000, 1370478943000000]",
total_amount,FLOAT,The total amount charged to passengers. Does not include cash tips.,[15.6],
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,"[2, 1, 6]",
tolls_amount,FLOAT,Total amount of all tolls paid in trip.,[0.0],
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""CRD""]",
dropoff_datetime,NUMBER,The date and time when the meter was disengaged,"[1358979968000000, 1362776773000000, 1370479436000000]",
pickup_latitude,FLOAT,,"[40.776782, 40.731617, 40.790173]",
imp_surcharge,FLOAT,$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.,[],
mta_tax,FLOAT,$0.50 MTA tax that is automatically triggered based on the metered rate in use,[0.5],
vendor_id,TEXT,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.","[""CMT""]",
extra,FLOAT,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges",[0.5],
dropoff_latitude,FLOAT,,"[40.78334, 40.709749, 40.75193]",
tip_amount,FLOAT,Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.,[2.6],
trip_distance,FLOAT,The elapsed trip distance in miles reported by the taximeter.,"[3.0, 2.3, 3.5]",
fare_amount,FLOAT,The time-and-distance fare calculated by the meter,[12.0],
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","[""N""]",
