column_name,column_type,column_description,sample_value,ref_key
hazardous_material_placard_name,TEXT,,"[""Not Applicable""]",
vehicle_configuration,NUMBER,,[0],
hazardous_material_involvement,NUMBER,,[1],
registered_vehicle_owner_name,TEXT,,"[""Driverless/Motor Vehicle Parked/Stopped Off Roadway""]",
hazardous_material_class_number,NUMBER,,[0],
mcid_issuing_authority,NUMBER,,[0],
related_factors_vehicle_level2_name,TEXT,,"[""None""]",
vin_character_6,TEXT,,"[""9"", ""2"", ""6""]",
registration_state,NUMBER,,"[26, 6, 44]",
vehicle_trailing_name,TEXT,,"[""No Trailing Units""]",
vehicle_removal,NUMBER,,"[5, 2, 3]",
vehicle_number,NUMBER,,"[2, 4]",
vin_character_4,TEXT,,"[""E"", ""C"", ""M""]",
hazardous_material_identification_number_name,TEXT,,"[""Not Applicable""]",
vehicle_identification_number_vin_name,TEXT,,"[""WBSEK93567CS"", ""WP0CA2980XU6"", ""YV1MC67269J0""]",
unit_type,NUMBER,,"[3, 2]",
registered_vehicle_owner,NUMBER,,[6],
hour_of_crash,NUMBER,,"[23, 1]",
vehicle_removal_name,TEXT,,"[""Not Towed"", ""Towed Due to Disabling Damage"", ""Towed Not Due to Disabling Damage""]",
hit_and_run_name,TEXT,,"[""No""]",
hazardous_material_placard,NUMBER,,[0],
emergency_motor_vehicle_use_name,TEXT,,"[""Not Applicable""]",
vin_character_5,TEXT,,"[""K"", ""A"", ""C""]",
day_of_crash_name,TEXT,,"[""23"", ""6"", ""13""]",
fire_occurrence,NUMBER,,[0],
minute_of_crash_name,TEXT,,"[""43"", ""45"", ""1""]",
vehicle_make,NUMBER,,"[34, 45, 51]",
ptrlr1vinname,TEXT,,"[""No Trailing Units""]",
cargo_body_type_name,TEXT,,"[""Not Applicable (N/A)""]",
vin_character_12,TEXT,,"[""S"", ""6"", ""0""]",
ptrlr2vin,TEXT,,"[""777777777777""]",
vehicle_identification_number_vin,TEXT,,"[""WBSEK93567CS"", ""WP0CA2980XU6"", ""YV1MC67269J0""]",
hit_and_run,NUMBER,,[0],
most_harmful_event_name,TEXT,,"[""Motor Vehicle In-Transport"", ""Parked Motor Vehicle""]",
gross_vehicle_weight_rating,NUMBER,,[0],
first_harmful_event,NUMBER,,"[42, 14, 8]",
