column_name,column_type,column_description,sample_value,ref_key
evaluation_type_sequence_number,NUMBER,A unique sequence number used to identify a population evaluation type record.,[237868055020004],
pop_evaluation_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
eval_type_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
stratum_assign_sequence_number,TEXT,A unique sequence number used to identify a population plot stratum assignment record.,"[""237818997020004"", ""237819003020004"", ""237819004020004""]",
eval_type_modified_by,TEXT,See SURVEY.MODIFIED_BY description for definition.,[],
stratum_sequence_number,NUMBER,Foreign key linking the condition down woody material calculation record to the population stratum record.,[237812173020004],
pop_evaluation_group_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
pop_stratum_adjustment_factor_for_piles,FLOAT,Ratio of target divided by sampled transect length or area for piles on all partially and fully sampled plots in stratum.,[],
pop_evaluation_group_modified_date,DATE,See SURVEY.MODIFIED_DATE description for definition.,"[""2014-02-13""]",
estimation_unit,NUMBER,"The specific geographic area that is stratified. Estimation units are often determined by a combination of geographical boundaries, sampling intensity and ownership.",[3],
adjustment_factor_for_coarse_woody_debris,FLOAT,Ratio of transect length that was sampled for coarse woody debris on all partially and fully sampled plots in stratum.,[],
land_only,TEXT,A code indicating area used in stratifying evaluations. See POP_ESTN_UNIT.AREA_SOURCE for more information.,"[""N""]",
evaluation_group,NUMBER,"""An evaluation group identifies the evaluations that were used in producing a core set of tables. In some cases one evaluation will be used for area and volume and another evaluation for growth, removals and mortality. The value of this attribute is used to select the appropriate State and year of interest to produce a set of summary tables.",[382013],
adjustment_factor_for_the_duff_and_litter_layer,FLOAT,Ratio of points that were sampled for duff and litter to target number of points for all partially and fully sampled plots in stratum.,[],
stratum_assign_created_in_instance,NUMBER,See SURVEY.CREATED_IN_INSTANCE description for definition.,[20004],
phase_1_point_count,NUMBER,The number of basic units (pixels or points) in the stratum.,[180724168],
estimation_unit_description,TEXT,"A description of the estimation unit (e.g., name of the county).","[""Private Unit 1""]",
area_used_to_calculate_all_expansion_factors,FLOAT,"This value is equivalent to AREATOT_EU when estimates are for all area, including census water; and this value is equivalent to AREALAND_EU when estimates are for land area only.",[41390542.8],
phase_2_plot_number,NUMBER,"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot.","[20277, 20283, 20284]",
evaluation_group_description,TEXT,"A description of the evaluation group that includes the State and range of years for the evaluation, for example, """"Minnesota: 2004;2005;2006;2007;2008"""". This is useful to include in a summary report to clearly identify the source of the data.","[""NORTH DAKOTA 2013: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY""]",
pop_stratum_created_by,TEXT,See SURVEY.CREATED_BY description for definition.,[],
land_area_within_the_estimation_unit,FLOAT,The area of land in acres enclosed by the estimation unit. Census water is excluded.,[],
eval_type_modified_date,DATE,See SURVEY.MODIFIED_DATE description for definition.,"[""2014-02-13""]",
adjustment_factor_for_the_macroplot,FLOAT,"Adjustment factor for the macroplot. A value that adjusts the population estimates to account for partially nonsampled plots (access denied and hazardous portions). It is used with condition proportion (COND.CONDPROP_UNADJ) and area expansion (EXPNS) to provide area estimates, when COND.PROP_BASIS = """"MACR"""" (indicating macroplot installed). ADJ_FACTOR_MACR is also used with EXPNS and trees per acre unadjusted (TREE.TPA_UNADJ, TREE.TPAMORT_UNADJ, TREE.TPAREMV_UNADJ, TREE.TPAGROW_UNADJ) to provide tree estimates for sampled land. If a macroplot was not installed, this attribute is left blank (null). Refer to The Forest Inventory and Analysis Database: Population Estimation User Guide (Edition: March, 2017) for detailed examples.",[0.0],
evaluation_group_sequence_number,NUMBER,Foreign key linking the population evaluation record to the population evaluation group record.,[237868207020004],
stratum_assign_modified_in_instance,NUMBER,See SURVEY.MODIFIED_IN_INSTANCE description for definition.,[],
stratum_description,TEXT,"Strata are usually based on land use (e.g., forest or nonforest) but may also be based on other criteria such as ownership (e.g., private/public/national forest).","[""Canopy cover 0 - 5""]",
adjustment_factor_for_large_fine_woody_debris,FLOAT,Ratio of transect length that was sampled for large fine woody debris on all partially and fully sampled plots in stratum.,[],
estimation_unit_sequence_number,NUMBER,"Foreign key linking the stratum record to the estimation unit record.""=",[237868143020004],
pop_stratum_modified_in_instance,NUMBER,See SURVEY.MODIFIED_IN_INSTANCE description for definition.,[20004],
eval_type_created_in_instance,NUMBER,See SURVEY.CREATED_IN_INSTANCE description for definition.,[20004],
adjustment_factor_for_small_fine_woody_debris,FLOAT,Ratio of transect length that was sampled for small fine woody debris on all partially and fully sampled plots in stratum.,[],
pop_evaluation_modified_in_instance,NUMBER,See SURVEY.MODIFIED_IN_INSTANCE description for definition.,[290487],
stratum_assign_created_date,DATE,See SURVEY.CREATED_DATE description for definition.,"[""2014-02-13""]",
region_or_station_code,NUMBER,Identification number of the Forest Service National Forest System Region or Station (FIA work unit) that provided the inventory data (see appendix B for more information).,[23],
eval_unit_modified_date,DATE,See SURVEY.MODIFIED_DATE description for definition.,"[""2014-05-20""]",
state_code,NUMBER,Bureau of the Census Federal Information Processing Standards (FIPS) two-digit code for each State. Refer to appendix B. For evaluations that do not conform to the boundaries of a single State the value of STATECD should be set to 99.,[38],
evaluation_description,TEXT,"A description of the area being evaluated (often a State), the time period of the evaluation, and the type of estimates the evaluation can be used to compute (e.g., all lands, area, volume, growth, removals, mortality).","[""NORTH DAKOTA 2013: 2004-2008 to 2009-2013: AREA CHANGE, GROWTH, REMOVALS, MORTALITY""]",
survey_unit_code,NUMBER,"Forest Inventory and Analysis survey unit identification number. Survey units are usually groups of counties within each State. For periodic inventories, Survey units may be made up of lands of particular owners. Refer to appendix B for codes.",[1],
eval_unit_created_in_instance,NUMBER,See SURVEY.CREATED_IN_INSTANCE description for definition.,[20004],
area_source,TEXT,"Identifies the source of the area numbers. Usually, the area source is either the U.S. Census Bureau or area estimates based on pixel counts. Example values are ""US CENSUS 2000"" or ""PIXEL COUNT.""","[""Pixel count""]",
evaluation_type,TEXT,"Describes the type of evaluation. Evaluation type is needed to generate summary reports for an inventory. For example, a specific evaluation is associated with the evaluation for tree volume (EXPVOL). At the present time, nine types of evaluations can be produced. See also the REF_POP_EVAL_TYP_DESCR table.","[""EXPMORT""]",
notes,TEXT,Population evaluation group notes.,"[""ND 2013: 2009-2013""]",
end_inventory_year,TEXT,The ending year for the data included in the evaluation.,"[""2013""]",
