column_name,column_type,column_description,sample_value,ref_key
latitude,FLOAT,Service request location latitude coordinate.,[0.0],
neighborhood,TEXT,,[],
status,TEXT,Service request status. Duplicate statuses indicate that issue had previously been reported recently.,"[""Closed""]",
police_district,TEXT,,[],
agency_name,TEXT,,"[""SSP - MTA Feedback Queue"", ""Clear Channel - Transit Queue""]",
longitude,FLOAT,Service request location longitude coordinate.,[0.0],
status_notes,TEXT,,"[""Case Transferred - transfer psr 442213"", ""Case is Invalid - No location or issue given"", ""Case Transferred""]",
supervisor_district,NUMBER,,[],
unique_key,NUMBER,The service request tracking number.,"[2985411, 4816895, 5681054]",
closed_date,NUMBER,,"[1382927320000000, 1433940815000000, 1458611331000000]",
source,TEXT,Contact method Service request was received from. Mass entry requests are submitted by dept. in groups after work is completed.,"[""Web""]",
descriptor,TEXT,,[],
incident_address,TEXT,Service location of Service request.,"[""Not associated with a specific address""]",
resolution_action_updated_date,NUMBER,,"[1382927320000000, 1433940815000000, 1458611331000000]",
category,TEXT,,"[""MUNI Feedback"", ""Litter Receptacles""]",
complaint_type,TEXT,,"[""MUNI  -"", ""Transit_shelter_platform""]",
created_date,NUMBER,Date Service request was created.,"[1382690175000000, 1433939055000000, 1458351658000000]",
location,TEXT,Service request location latitude and longitude coordinates.,"[""(0.0, 0.0)""]",
media_url,TEXT,,[],
