column_name,column_type,column_description,sample_value,ref_key
fuel,TEXT,,"[""""]",
fuel_code,TEXT,,"[""""]",
vehicle_type,TEXT,,"[""Motorcycle""]",
num_of_doors,NUMBER,,[0],
drive_type_2,TEXT,,"[""""]",
vehicle_manufacturer_name,TEXT,,"[""Ducati"", ""Polaris""]",
num_of_wheels_by_power_train,NUMBER,,[0],
rear_tire_size_code,TEXT,,"[""""]",
brakes_abs_code,TEXT,,"[""""]",
rear_tire_size,TEXT,,"[""""]",
valves_total,NUMBER,,[0],
body_style_code,TEXT,,"[""TR"", ""AT"", ""SS""]",
plant_state_code,TEXT,,"["""", ""MN""]",
restraint_type_code,TEXT,,"[""""]",
vehicle_number,NUMBER,,"[1, 2]",
total_battery_power,TEXT,,"[""""]",
country_sold_code,TEXT,,"[""""]",
type_of_fuel,TEXT,,"[""""]",
plant_country,TEXT,,"[""Thailand"", ""United States""]",
marketing_year,NUMBER,,"[2016, 2007, 2015]",
cycle_count,NUMBER,,[4],
battery_voltage,TEXT,,"[""""]",
axle_type_front_axle_code,TEXT,,"[""""]",
daytime_running_lights_1,TEXT,,"[""""]",
cylinder_count_code,TEXT,,"[""2"", ""1""]",
vehicle_make,TEXT,,"[""DUCA"", ""POLS""]",
turbocharger_flag,TEXT,,"[""""]",
valves_per_cylinder,NUMBER,,[0],
head_configuration_1,TEXT,,"[""""]",
vehicle_trim_4,TEXT,,"[""""]",
block_type,TEXT,,"[""""]",
origin_code,TEXT,,"[""I"", ""D""]",
security_type,TEXT,,"[""""]",
state_number,NUMBER,,"[6, 56, 4]",
base_price,TEXT,,"[""0"", ""7899"", ""20299""]",
num_of_barrels,TEXT,,"[""""]",
plant_country_code,TEXT,,"[""THA"", ""USA""]",
brakes_abs_description,TEXT,,"[""""]",
displacement_cid,NUMBER,,[0],
front_tire_size,TEXT,,"[""""]",
vehicle_trim,TEXT,,"[""800"", ""500 EFI"", ""XP 1000 EPS""]",
drive_type_1,TEXT,,"[""""]",
number_of_wheels,NUMBER,,[0],
distance_between_axles_for_particular_series,TEXT,,"[""""]",
plant_city,TEXT,,"[""RAYONG"", ""ROSEAU""]",
gross_vehicle_weights_range_code,NUMBER,,[],
engine_manufacture,TEXT,,"[""""]",
engine_model,TEXT,,"[""""]",
origin,TEXT,,"[""Import"", ""Domestic""]",
carburetion_types_code,TEXT,,"[""""]",
vehicle_manufacturer_code,TEXT,,"[""C129"", ""C180""]",
daytime_running_lights_2,TEXT,,"[""""]",
rear_tire,NUMBER,,[],
motorcycles_body_style,TEXT,,"[""On - Highway"", ""Off - Highway""]",
supercharge_flag_description,TEXT,,"[""""]",
cab_configuration,TEXT,,"[""""]",
standard_segmentation,TEXT,,"[""""]",
duty_type_code,TEXT,,"[""""]",
model_code,TEXT,,"[""SCRAMBLER"", ""X2"", ""RZR""]",
variable_valve_timing_flag,TEXT,,"[""""]",
axle_type_front_axle,TEXT,,"[""""]",
turbocharger_flag_description,TEXT,,"[""""]",
front_tire_pressure,NUMBER,,[0],
engine_manufacture_code,TEXT,,"[""""]",
front_tire,NUMBER,,[],
axle_type_rear_axle_code,TEXT,,"[""""]",
standard_segmentation_code,TEXT,,"[""""]",
displacement_cc,NUMBER,,"[803, 499, 999]",
head_configuration_2,TEXT,,"[""""]",
engine_code,TEXT,,"[""5AM"", """", ""DE9""]",
battery_type,TEXT,,"[""""]",
shipping_weight,NUMBER,,"[0, 798, 1379]",
motorcycles_body_style_code,TEXT,,"[""ON"", ""OFF""]",
vehicle_type_code,TEXT,,"[""M""]",
security_type_code,TEXT,,"[""""]",
brake_type,TEXT,,"[""""]",
brake_type_code,TEXT,,"[""""]",
rear_tire_pressure,NUMBER,,[0],
make_name,TEXT,,"[""DUCATI"", ""POLARIS""]",
carburetion_types,TEXT,,"[""""]",
vehicle_trim_3,TEXT,,"[""""]",
vehicle_trim_1,TEXT,,"[""""]",
bed_length,TEXT,,"[""""]",
axle_type_rear_axle,TEXT,,"[""""]",
cab_configuration_code,TEXT,,"[""""]",
front_tire_size_code,TEXT,,"[""""]",
is_incomplete,TEXT,,"[""N""]",
supercharge_flag,TEXT,,"[""""]",
displacement_liters,FLOAT,,[],
vehicle_trim_2,TEXT,,"[""""]",
tonnage_rating,TEXT,,"[""""]",
plant_code,TEXT,,"[""T"", ""A"", ""B""]",
bed_length_code,TEXT,,"[""""]",
type_of_fuel_code,TEXT,,"[""""]",
battery_type_code,TEXT,,"[""""]",
gross_vehicle_weights_range,TEXT,,"[""""]",
plant_state,TEXT,,"["""", ""MINNESOTA""]",
consecutive_number,NUMBER,,"[61595, 560065, 40310]",
restraint_type,TEXT,,"[""""]",
body_style,TEXT,,"[""TRADITIONAL"", ""ATV"", ""SIDE BY SIDE""]",
duty_type,TEXT,,"[""""]",
country_sold,TEXT,,"[""""]",
distance_between_axles_for_base_model,FLOAT,,[],
