column_name,column_type,column_description,sample_value,ref_key
location_type,TEXT,,"[""Street""]",
intersection_street_2,TEXT,,"[""DORA STREET"", ""THERESA PLACE"", ""BEND""]",
resolution_description,TEXT,,"[""The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work."", ""The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days."", ""The condition has been inspected/investigated. See customer notes for more information.""]",
community_board,TEXT,,"[""01 STATEN ISLAND""]",
status,TEXT,Service request status. Duplicate statuses indicate that issue had previously been reported recently.,"[""Closed""]",
park_facility_name,TEXT,,"[""Unspecified""]",
created_date,NUMBER,Date Service request was created.,"[1562071149000000, 1591961373000000, 1591962127000000]",
bridge_highway_segment,TEXT,,[],
location,TEXT,Service request location latitude and longitude coordinates.,"[""(40.61483077351915, -74.14254330060342)"", ""(40.62420877288155, -74.09246530867175)"", ""(40.64631561968831, -74.08857528027275)""]",
latitude,FLOAT,Service request location latitude coordinate.,"[40.61483077351915, 40.62420877288155, 40.64631561968831]",
landmark,TEXT,,"[""CRYSTAL AVENUE"", ""JERSEY STREET"", ""PARK LANE""]",
incident_address,TEXT,Service location of Service request.,"[""356 CRYSTAL AVENUE"", ""BERTHA PLACE"", ""61 JERSEY STREET""]",
vehicle_type,TEXT,,[],
due_date,NUMBER,,[1275226871000000.0],
taxi_company_borough,TEXT,,[],
complaint_type,TEXT,,"[""Street Condition""]",
road_ramp,TEXT,,[],
descriptor,TEXT,,"[""Failed Street Repair""]",
street_name,TEXT,Parsed location information. Street name.,"[""CRYSTAL AVENUE"", ""BERTHA PLACE"", ""JERSEY STREET""]",
agency,TEXT,,"[""DOT""]",
cross_street_2,TEXT,,"[""DORA STREET"", ""THERESA PLACE"", ""BEND""]",
resolution_action_updated_date,NUMBER,,"[1562074464000000, 1592223133000000, 1592223084000000]",
open_data_channel_type,TEXT,,"[""UNKNOWN"", ""OTHER"", ""ONLINE""]",
agency_name,TEXT,,"[""Department of Transportation""]",
x_coordinate,NUMBER,,"[944675, 958582, 959670]",
closed_date,NUMBER,,"[1562074443000000, 1592223130000000, 1592223082000000]",
incident_zip,TEXT,Parsed location information. Zip code.,"[""10314"", ""10301""]",
longitude,FLOAT,Service request location longitude coordinate.,"[-74.14254330060342, -74.09246530867175, -74.08857528027275]",
y_coordinate,NUMBER,,"[163308, 166706, 174759]",
borough,TEXT,,"[""STATEN ISLAND""]",
unique_key,NUMBER,The service request tracking number.,"[43174263, 46455654, 46457037]",
bridge_highway_name,TEXT,,[],
city,TEXT,Parsed location information. City.,"[""STATEN ISLAND""]",
intersection_street_1,TEXT,,"[""DELMORE STREET"", ""BERTHA PLACE"", ""RICHMOND TERRACE""]",
bbl,NUMBER,,"[5004750090.0, 5000510030.0, 5000280077.0]",
address_type,TEXT,,"[""ADDRESS""]",
bridge_highway_direction,TEXT,,[],
park_borough,TEXT,,"[""STATEN ISLAND""]",
cross_street_1,TEXT,,"[""DELMORE STREET"", ""BERTHA PLACE"", ""RICHMOND TERRACE""]",
taxi_pickup_location,TEXT,,[],
facility_type,TEXT,,"[""N/A""]",
