column_name,column_type,column_description,sample_value,ref_key
drug_test_type2,TEXT,This data element identifies the type of drug test that was given to this person. 0 Test Not Given 1 Blood Test 2 Urine Test 3 Both Blood and Urine Tests 6 Not Reported 7 Unknown Test Type 8 Other Test Type -- Unknown if Tested/Not Reported 9 Unknown if Tested,"[""Both Blood and Urine Tests"", ""Urine Test""]",
alcohol_test_status1,TEXT,This data element identifies whether an alcohol test was given to this person. 0 Test Not Given 1 Test Refused 2 Test Given 8 Not Reported -- Unknown if Tested/Not Reported 9 Unknown if Tested,"[""Test Given""]",
race_name,TEXT,This data element records the race of this person from the death certificate.,"[""White"", ""Black""]",
drug_test_type3,TEXT,This data element identifies the type of drug test that was given to this person. 0 Test Not Given 1 Blood Test 2 Urine Test 3 Both Blood and Urine Tests 6 Not Reported 7 Unknown Test Type 8 Other Test Type -- Unknown if Tested/Not Reported 9 Unknown if Tested,"[""Test Not Given"", ""Blood Test""]",
injury_severity_name,TEXT,This data element describes the severity of the injury to this person in the crash using the KABCO scale.,"[""Fatal Injury (K)""]",
land_use_name,TEXT,"1 (Rural), 2 (Urban), 6 (Trafficway Not in State Inventory), 8 (Not Reported) and 9 (Unknown).","[""Unknown"", ""Rural""]",
air_bag_deployed,NUMBER,"This data element records air bag availability and deployment for this person as reported in the case materials. For more info on the codes, please look at <P12 Air Bag Deployed> section in the pdf: https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/812315","[1, 8, 0]",
initial_contact_point,NUMBER,"This data element identifies the area on this vehicle that produced the first instance of injury to non-motorists or occupants of this vehicle, or that resulted in the first instance of damage to other property or to this vehicle. For more info on the codes, please look at <V28A Initial Contact Point> section in the pdf: https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/812315","[12, 11, 3]",
hispanic_origin_name,TEXT,This data element records the Hispanic origin of this person from the death certificate.,"[""Non-Hispanic""]",
person_type_name,TEXT,This data element describes the role of this person involved in the crash.,"[""Driver of a Motor Vehicle In-Transport""]",
method_of_drug_determination_by_police,TEXT,"This data element identifies the method by which the police made the determination as to whether drugs were involved for this person. 1 Evidential Test (Blood, Urine) 2 Drug Recognition Technician (DRT) Determination 3 Behavioral 7 Other 8 Not Reported","[""Not Reported"", ""Evidential Test (Blood, Urine)""]",
