column_name,column_type,column_description,sample_value,ref_key
intersection_leg,TEXT,,"[""7""]",
bicyclist_position,TEXT,,"[""1""]",
bicyclist_initial_direction_of_travel_name,TEXT,,"[""With Traffic"", ""Facing Traffic"", ""Unknown""]",
sidewalk_present,TEXT,,"[""0"", ""1""]",
pedestrian_scenario,TEXT,,"[""7""]",
crash_type_bicycle_name,TEXT,,"[""Motorist Overtaking - Undetected Bicyclist"", ""Bicyclist Lost Control - Other / Unknown"", ""Wrong-Way / Wrong-Side - Bicyclist""]",
crash_group_bicycle,NUMBER,,"[230, 110, 258]",
person_type_name,TEXT,,"[""Bicyclist""]",
crash_location_pedestrian_name,TEXT,,"[""Not a Pedestrian""]",
pedestrian_scenario_name,TEXT,,"[""Not a Pedestrian""]",
motorist_maneuver_name,TEXT,,"[""Not a Pedestrian""]",
consecutive_number,NUMBER,,"[10027, 10365, 10695]",
crash_type_pedestrian_name,TEXT,,"[""Not a Pedestrian""]",
pedestrian_initial_direction_of_travel,TEXT,,"[""7""]",
sex_name,TEXT,,"[""Male""]",
crash_group_pedestrian_name,TEXT,,"[""Not a Pedestrian""]",
age,NUMBER,,"[24, 56, 58]",
crash_group_pedestrian,NUMBER,,[0],
pedestrian_position_name,TEXT,,"[""Not a Pedestrian""]",
motorist_initial_direction_of_travel_name,TEXT,,"[""Not a Pedestrian""]",
sex,TEXT,,"[""1""]",
motorist_initial_direction_of_travel,TEXT,,"[""7""]",
sidewalk_present_name,TEXT,,"[""None Noted"", ""Yes""]",
marked_crosswalk_present,TEXT,,"[""0"", ""1""]",
person_number,NUMBER,,[1],
crash_group_bicycle_name,TEXT,,"[""Motorist Overtaking Bicyclist"", ""Loss of Control / Turning Error"", ""Wrong-Way / Wrong-Side""]",
intersection_leg_name,TEXT,,"[""Not a Pedestrian""]",
crash_location_bicycle,TEXT,,"[""3"", ""1""]",
school_zone,TEXT,,"[""0""]",
crash_type_bicycle,NUMBER,,"[231, 129, 250]",
vehicle_number,NUMBER,,[0],
bicyclist_position_name,TEXT,,"[""Travel Lane""]",
state_number,NUMBER,,"[1, 2, 4]",
crash_location_pedestrian,TEXT,,"[""7""]",
school_zone_name,TEXT,,"[""None Noted""]",
person_type,NUMBER,,[6],
crash_type_pedestrian,NUMBER,,[0],
pedestrian_initial_direction_of_travel_name,TEXT,,"[""Not a Pedestrian""]",
motorist_maneuver,TEXT,,"[""7""]",
bicyclist_initial_direction_of_travel,TEXT,,"[""1"", ""2"", ""9""]",
crash_location_bicycle_name,TEXT,,"[""Not At Intersection"", ""At Intersection""]",
pedestrian_position,TEXT,,"[""77""]",
marked_crosswalk_present_name,TEXT,,"[""None Noted"", ""Yes""]",
age_name,TEXT,,"[""24 Years"", ""56 Years"", ""58 Years""]",
state_name,TEXT,,"[""Alabama"", ""Alaska"", ""Arizona""]",
