column_name,column_type,column_description,sample_value,ref_key
FDIC_REGIONAL_OFFICE,TEXT,Name of the FDIC Regional Office that services the institution.,"[""New York"", ""Dallas"", ""Chicago""]",
FDIC_INSTITUTION_CERTIFICATE_NUMBER,TEXT,Unique number assigned by the FDIC used to identify institutions and for for the issuance of insurance certificates.,"[""59324"", ""6384"", ""3285""]",
HOLDING_COMPANY_TYPE,TEXT,Identifies the type of holding company associated with the branch.,"[""One bank holding company"", ""Multi-bank holding company""]",
LONGITUDE,FLOAT,Longitude of the branch's physical location.,"[-66.066281025329, -74.6604640291354, -96.6384189932786]",
LATITUDE,FLOAT,Latitude of the branch's physical location.,"[18.444306984751, 40.349737992673056, 28.625432992645273]",
INSTITUTION_PRIMARY_REGULATORY_AGENCY,TEXT,Primary regulatory agency of the institution.,"[""OCC""]",
GEO_ID_CBSA,TEXT,Geographic ID representing the core-based statistical area where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.,"[""geoId/C41980"", ""geoId/C45940"", ""geoId/C38920""]",
CHARTER_TYPE,TEXT,Identifies whether an institution is federally or state chartered.,"[""Fed""]",
GEO_ID_STATE,TEXT,Geographic ID representing the state where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.,"[""geoId/72"", ""geoId/34"", ""geoId/48""]",
BRANCH_NAME,TEXT,"Name of the branch (e.g., Magnolia Branch).","[""Nave Bank"", ""Nassau Street Branch"", ""Heb - Port Lavaca Banking Center - Rc 430""]",
CITY,TEXT,City at which the branch is physically located.,"[""San Juan"", ""Princeton"", ""Port Lavaca""]",
RSSDHCR,TEXT,Unique number assigned by the Federal Reserve Board (FRB) to the regulatory bank holding company of the institution.,"[""1069778"", ""1108097"", ""1039502""]",
GEO_ID_COUNTY,TEXT,Geographic ID representing the county where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.,"[""geoId/72127"", ""geoId/34021"", ""geoId/48057""]",
GEO_ID_METRO_DIV,TEXT,Geographic ID representing the metropolitan division where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.,"[""geoId/M37964"", ""geoId/M35614""]",
BRANCH_TYPE,TEXT,"Description of the branch's main function (e.g., Full Service Brick and Mortar Office).","[""Full Service - Brick And Mortar"", ""Full Service - Retail""]",
RSSDID,TEXT,Unique number assigned by the Federal Reserve Board (FRB) to the institution.,"[""817824"", ""613950"", ""852218""]",
ACQUIRED_DATE,DATE,Date that a branch was last acquired by another institution.,"[""1996-06-09""]",
GEO_ID_ZIP,TEXT,Geographic ID representing the zip code where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.,"[""zip/00909"", ""zip/08542"", ""zip/77979""]",
ADDRESS,TEXT,Street address at which the branch is physically located.,"[""1608 Ave Ponce De Leon, Suite 2"", ""76 Nassau St"", ""101 Calhoun Plz""]",
ESTABLISHED_DATE,DATE,Date on which the branch began operations.,"[""2023-09-18"", ""1934-01-01"", ""2012-02-03""]",
COMPTROLLER_DISTRICT,TEXT,Name of the Comptroller of the Currency district in which the institution is located.,"[""Large Bank"", ""Southern""]",
FEDERAL_RESERVE_DISTRICT,TEXT,Name of the Federal Reserve District where the institution is located.,"[""Philadelphia"", ""Dallas"", ""Cleveland""]",
INSTITUTION_PRIMARY_INSURER,TEXT,"Primary insurer, insurance agent, or insurance status of an institution.","[""Deposit Insurance Fund""]",
HOLDING_COMPANY_NAME,TEXT,"Name of the holding company for the institution (e.g., JPMorgan Chase & Co.).","[""Pnc Financial Services Group, Inc., The"", ""First Community Bancshares, Inc."", ""Jpmorgan Chase & Co.""]",
INSTITUTION_CHARTER_AGENCY,TEXT,The chartering agency of the institution that granted the license or charter for the institution to operate and regulates and supervises the financial and operational activities of that institution.,"[""Comptroller of the Currency""]",
MAIN_OFFICE_FLAG,NUMBER,Flag identifying the main office for the institution.,"[1, 0]",
OTS_ID,TEXT,Unique identification number assigned to institutions chartered by the Office of the Thrift Supervision (OTS) or that become members of the Federal Home Loan System.,[],
BRANCH_NUMBER,TEXT,The branch's corresponding office number.,"[""0"", ""873"", ""301""]",
