column_name,column_type,column_description,sample_value,ref_key
PQA,VARIANT,,"[""[\n  0.000000000000000e+00\n]""]",
LEN,VARIANT,,"[""[\n  1\n]""]",
DPB,FLOAT,,"[4.66667, 8.0, 4.0]",
quality,FLOAT,,"[4.72822e-05, 1.07498e-06, 22.7562]",
alternate_bases,VARIANT,,"[""[\n  \""TAAG\""\n]"", ""[\n  \""C\""\n]"", ""[\n  \""G\""\n]""]",
RPPR,FLOAT,,"[7.35324, 4.45795]",
NUMALT,NUMBER,,[1],
CIGAR,VARIANT,,"[""[\n  \""1M1I2M\""\n]"", ""[\n  \""1X\""\n]""]",
EPPR,FLOAT,,"[3.0103, 7.35324]",
reference_bases,TEXT,,"[""TAG"", ""T"", ""A""]",
GTI,NUMBER,,[0],
start,NUMBER,,"[191812, 99044, 183485]",
PAO,VARIANT,,"[""[\n  0.000000000000000e+00\n]""]",
AO,VARIANT,,"[""[\n  2\n]""]",
PRO,FLOAT,,[0.0],
SRF,NUMBER,,"[1, 3, 0]",
RPR,VARIANT,,"[""[\n  2\n]"", ""[\n  1\n]""]",
AF,VARIANT,,"[""[\n  0.000000000000000e+00\n]"", ""[\n  1.000000000000000e+00\n]""]",
SAP,VARIANT,,"[""[\n  7.353240000000000e+00\n]""]",
TYPE,VARIANT,,"[""[\n  \""ins\""\n]"", ""[\n  \""snp\""\n]""]",
reference_name,TEXT,,"[""gi|1098496610|gb|MNPR01000217.1|"", ""gi|1098496313|gb|MNPR01000385.1|"", ""gi|1098497129|gb|MNPR01000010.1|""]",
AB,VARIANT,,"[""[\n  0.000000000000000e+00\n]""]",
names,VARIANT,,"[""[]""]",
MQMR,FLOAT,,"[26.0, 42.3333, 3.0]",
SRP,FLOAT,,"[3.0103, 7.35324]",
SRR,NUMBER,,"[1, 3, 2]",
PQR,FLOAT,,[0.0],
QA,VARIANT,,"[""[\n  4\n]"", ""[\n  65\n]"", ""[\n  78\n]""]",
NS,NUMBER,,[1],
ABP,VARIANT,,"[""[\n  0.000000000000000e+00\n]""]",
PAIRED,VARIANT,,"[""[\n  1.000000000000000e+00\n]"", ""[\n  5.000000000000000e-01\n]"", ""[\n  0.000000000000000e+00\n]""]",
filter,VARIANT,,"[""[]""]",
end,NUMBER,,"[191815, 99045, 183486]",
RPL,VARIANT,,"[""[\n  0\n]"", ""[\n  1\n]""]",
ODDS,FLOAT,,"[12.0154, 15.2118, 5.23448]",
SAF,VARIANT,,"[""[\n  0\n]"", ""[\n  2\n]""]",
MEANALT,VARIANT,,"[""[\n  1\n]""]",
