column_name,column_type,column_description,sample_value,ref_key
transactionId,TEXT,,"[""ORD201703202224"", ""ORD201612143100"", ""ORD201610043169""]",
time,NUMBER,,"[4457666, 2134051, 429607]",
timeOnSite,NUMBER,,"[6427, 2134, 430]",
transactions,NUMBER,,"[7, 1, 25]",
fullVisitorId,TEXT,,"[""8942866004645538967"", ""9671728324632392297"", ""1913537324529991256""]",
productQuantity,NUMBER,,"[2, 1]",
sessionQualityDim,NUMBER,,[66.0],
productSKU,TEXT,,"[""GGOEAAAB034814"", ""GGOEAAAB034815"", ""GGOEAAAB034913""]",
pageviews,NUMBER,,"[343, 83, 21]",
productRevenue,NUMBER,,"[40622857, 16240000, 19990000]",
eCommerceAction_step,NUMBER,,[1],
pagePathLevel1,TEXT,,"[""/ordercompleted.html""]",
pageTitle,TEXT,,"[""Checkout Confirmation""]",
productPrice,NUMBER,,"[19990000, 15990000]",
productVariant,TEXT,,"["" MD"", "" LG"", "" SM""]",
country,TEXT,,"[""United States"", ""India""]",
visitId,NUMBER,,"[1489999542, 1481767891, 1475587203]",
itemRevenue,NUMBER,,[],
transactionRevenue,NUMBER,,"[558740000, 57750000, 39980000]",
channelGrouping,TEXT,,"[""Direct"", ""Referral"", ""Paid Search""]",
currencyCode,TEXT,,"[""USD""]",
itemQuantity,NUMBER,,[],
date,TEXT,,"[""20170320"", ""20161214"", ""20161004""]",
type,TEXT,,"[""PAGE""]",
v2ProductCategory,TEXT,,"[""Apparel"", ""(not set)""]",
eCommerceAction_type,TEXT,,"[""6""]",
city,TEXT,,"[""not available in demo dataset"", ""Cambridge"", ""New Delhi""]",
v2ProductName,TEXT,,"[""Android BTTF Cosmos Graphic Tee"", ""Android BTTF Moonshot Graphic Tee""]",
totalTransactionRevenue,NUMBER,,"[3775800000, 57750000, 39980000]",
searchKeyword,TEXT,,[],
productRefundAmount,NUMBER,,[],
eCommerceAction_option,TEXT,,[],
