column_name,column_type,column_description,sample_value,ref_key
lsad_name,TEXT,,"[""Congressional District 24"", ""Congressional District 25""]",
lsad_code,TEXT,,"[""C2""]",
congress_session,TEXT,,"[""116""]",
int_point_lon,FLOAT,,"[-97.0127238, -76.6480936, -80.2109109]",
district_geom,BINARY,,[],
state_fips_code,TEXT,,"[""48"", ""36"", ""12""]",
geo_id,TEXT,,"[""4824"", ""3624"", ""1224""]",
mtfcc_feature_class_code,TEXT,,"[""G5200""]",
area_water_meters,NUMBER,,"[23057547, 3271965600, 33056037]",
int_point_lat,FLOAT,,"[32.9194727, 43.2103194, 25.9084664]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00`8|w\\xd0@X\\xc0L\\x08\\x0cH\\xb1u@@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcd/\\x94]z)S\\xc0q[\\x00\\xbf\\xeb\\x9aE@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xadwn\\x90\\x7f\\rT\\xc0\\xcd\\x83\\x05A\\x91\\xe89@')""]",
district_fips_code,TEXT,,"[""24"", ""25""]",
area_land_meters,NUMBER,,"[680637123, 6186364756, 265292337]",
functional_status,BOOLEAN,,[false],
