column_name,column_type,column_description,sample_value,ref_key
valid_start_date,DATE,,"[""1970-01-01""]",
ingredient_concept_id,NUMBER,,"[1125315, 958999, 19095164]",
amount_unit_concept_id,NUMBER,,"[8576, 8510]",
denominator_unit_concept_id,NUMBER,,[],
amount_value,FLOAT,,[],
drug_concept_id,NUMBER,,"[40004031, 40155777, 40833276]",
numerator_value,FLOAT,,[],
numerator_unit_concept_id,NUMBER,,[],
box_size,NUMBER,,[],
valid_end_date,DATE,,"[""2099-12-31""]",
denominator_value,FLOAT,,[],
invalid_reason,TEXT,,[],
