column_name,column_type,column_description,sample_value,ref_key
slide_gdc_id,TEXT,Slide GDC uuid,"[""f379d4f4-226a-4d14-b112-787bca0158a3"", ""67a19d94-709d-4397-84ef-4200390113f1"", ""870c2e2e-7f4f-4d06-bac3-5e48c4d9d09d""]",
case_barcode,TEXT,"Submitter identifier, eg HCC1954, TCGA-ZX-AA5X, etc","[""BLGSP-71-19-00106"", ""HCM-BROD-0047-C71"", ""TCGA-G4-6317""]",
portion_gdc_id,TEXT,Original/submitter portion ID,"[""f1d2a583-ddd0-4787-931e-f5601783d7a8"", ""aefe78bf-2f50-40d3-b07b-95e4388b8224"", ""2b820f48-7713-4877-b5ea-a5060943810a""]",
sample_type_name,TEXT,"The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc.","[""Recurrent Tumor""]",
project_id,TEXT,"ID of the Project -- e.g. TCGA-BRCA, TARGET-AML, etc.","[""CGCI-BLGSP"", ""HCMI-CMDC"", ""TCGA-COAD""]",
sample_gdc_id,TEXT,"Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal","[""83c55904-ee5a-4b0a-8c12-ef7f41cdb71e"", ""d10aaf2a-7eb2-40f2-b3e4-bb9a38ed0d63"", ""45c8544c-ec60-447e-91ee-62e41e72a82f""]",
sample_barcode,TEXT,Original/submitter sample ID,"[""BLGSP-71-19-00106-02A"", ""HCM-BROD-0047-C71-02A"", ""TCGA-G4-6317-02A""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""CGCI"", ""HCMI"", ""TCGA""]",
portion_barcode,TEXT,Original/submitter portion ID,"[""BLGSP-71-19-00106-02A-01"", ""HCM-BROD-0047-C71-02A-01"", ""TCGA-G4-6317-02A-11""]",
slide_barcode,TEXT,Slide submitter ID,"[""BLGSP-71-19-00106-02A-01-S2-HE"", ""HCM-BROD-0047-C71-02A-01-S2-HE"", ""TCGA-G4-6317-02A-01-BS1""]",
sample_type,TEXT,"Two-digit sample_type code which forms part of the sample barcode eg. 01,11,06, etc. (OR NA)","[""02""]",
case_gdc_id,TEXT,GDC unique identifier,"[""b06f7bf0-45bb-4aca-8f22-72d8a4f73f99"", ""babbc3cb-14b7-4894-b91d-c160f4cb48e0"", ""cee553c8-460d-436b-b55d-8f41624816cc""]",
