column_name,column_type,column_description,sample_value,ref_key
CountryID,NUMBER,,[230],
StateProvinceName,TEXT,,"[""Hawaii"", ""South Carolina"", ""Virginia""]",
SalesTerritory,TEXT,,"[""Far West"", ""Southeast""]",
ValidTo,NUMBER,,[253402300799999999],
StateProvinceID,NUMBER,,"[12, 42, 49]",
LatestRecordedPopulation,NUMBER,,"[1404054, 4774839, 8260405]",
LastEditedBy,NUMBER,,"[1, 15]",
ValidFrom,NUMBER,,"[1356998460000000, 1356998580000000, 1356998700000000]",
Border,BINARY,,[],
StateProvinceCode,TEXT,,"[""HI"", ""SC"", ""VA""]",
