column_name,column_type,column_description,sample_value,ref_key
start_station_name,TEXT,Station name for start station,"[""Mechanics Plaza (Market at Battery)""]",
trip_id,NUMBER,Numeric ID of bike trip,"[1214997, 528056, 341107]",
subscriber_type,TEXT,Type of the Subscriber,"[""Subscriber""]",
end_date,NUMBER,,"[1464180300000000, 1415086920000000, 1403804940000000]",
bike_number,NUMBER,,"[578, 878, 400]",
end_station_id,NUMBER,Numeric reference for end station,[76],
start_station_id,NUMBER,Numeric reference for start station,[75],
zip_code,TEXT,,"[""94002"", ""94010"", ""94041""]",
duration_sec,NUMBER,,"[300, 343, 303]",
start_date,NUMBER,,"[1464180000000000, 1415086560000000, 1403804640000000]",
end_station_name,TEXT,Station name for end station,"[""Market at 4th""]",
