column_name,column_type,column_description,sample_value,ref_key
TransactTime,NUMBER,Time the transaction occured,"[1605165335277000, 1605166786538000, 1605166875043000]",
StrikePrice,FLOAT,Price at which the CFD closed,"[11852.5, 11837.375, 11836.0]",
MaturityDate,NUMBER,Date of contract expiry,"[1605165395277000, 1605166846538000, 1605166935043000]",
Sides,VARIANT,,"[""[\n  {\n    \""OrderID\"": \""198353e4-99cb-456a-93dc-c0bf8839bcec\"",\n    \""PartyIDs\"": [\n      {\n        \""PartyID\"": \""PREDICTNQ\"",\n        \""PartyIDSource\"": \""PROP CODE\"",\n        \""PartyRole\"": \""INITIATING TRADER\""\n      }\n    ],\n    \""Side\"": \""SHORT\""\n  }\n]"", ""[\n  {\n    \""OrderID\"": \""e9e9ea44-7870-4fa0-a962-2affb54f626d\"",\n    \""PartyIDs\"": [\n      {\n        \""PartyID\"": \""PREDICTNQ\"",\n        \""PartyIDSource\"": \""PROP CODE\"",\n        \""PartyRole\"": \""INITIATING TRADER\""\n      }\n    ],\n    \""Side\"": \""SHORT\""\n  }\n]"", ""[\n  {\n    \""OrderID\"": \""736f32f9-1163-4d07-9605-132702fee00a\"",\n    \""PartyIDs\"": [\n      {\n        \""PartyID\"": \""PREDICTNQ\"",\n        \""PartyIDSource\"": \""PROP CODE\"",\n        \""PartyRole\"": \""INITIATING TRADER\""\n      }\n    ],\n    \""Side\"": \""SHORT\""\n  }\n]""]",
TradeDate,DATE,Date trade was executed,"[""2020-11-12""]",
CFICode,TEXT,Financial instrument classification code,"[""MMMXXX""]",
SenderCompID,TEXT,Assigned value used to identify firm sending message.,"[""MDOC""]",
SendingTime,NUMBER,Time the message was sent,"[1605165335000000, 1605166786000000, 1605166874000000]",
TradeReportID,TEXT,ID of this trade report,"[""198353e4-99cb-456a-93dc-c0bf8839bcec-0"", ""e9e9ea44-7870-4fa0-a962-2affb54f626d-0"", ""736f32f9-1163-4d07-9605-132702fee00a-0""]",
LastPx,FLOAT,Price at which the CFD was entered,"[11857.0, 11840.375, 11836.5]",
TargetCompID,TEXT,Assigned value used to identify firm receiving message.,"[""PREDICTNQ-COMPID""]",
OrderID,TEXT,Order identifier,"[""198353e4-99cb-456a-93dc-c0bf8839bcec"", ""e9e9ea44-7870-4fa0-a962-2affb54f626d"", ""736f32f9-1163-4d07-9605-132702fee00a""]",
Symbol,TEXT,Trading symbol of the asset,"[""NQZ0""]",
Quantity,NUMBER,Overall/total quantity (e.g. number of shares),[1],
