column_name,column_type,column_description,sample_value,ref_key
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states`,"[""45""]",
internal_point_geom,BINARY,"Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xe7f\\xc9-\\xf7\\x9cT\\xc0\\x9b\\x7f\\xaa\\xc0\\x7f+A@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x04\\x99S\\xb8\\xd4\\xa0T\\xc0\\x845\\x84\\x19\\t&A@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd7\\x1c{Q\\x96\\x97T\\xc0\\xe8V\\xbe\\x1d\\x97\\x1fA@')""]",
functional_status,TEXT,Current functional status,"[""S""]",
internal_point_lon,FLOAT,"Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[-82.4525866, -82.5129834, -82.3685497]",
county_fips_code,TEXT,Four-digit county FIPS code. County names and their corresponding FIPS codes can be found in BigQuery: `bigquery-public-data.census_utility.fips_codes_all`,"[""001""]",
blockgroup_ce,TEXT,Current block group number,"[""1"", ""2""]",
mtfcc_feature_class_code,TEXT,MAF/TIGER feature class code (G5030),"[""G5030""]",
tract_ce,TEXT,Current Census tract code,"[""950200"", ""950300"", ""950400""]",
lsad_name,TEXT,Current translated legal/statistical area description and the block group number,"[""Block Group 1"", ""Block Group 2""]",
blockgroup_geom,BINARY,Geographical representation of the polygon that defines the perimeter of the block group. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
geo_id,TEXT,"Unique identifier for each block group. Census block group identifier; a concatenation of the current state FIPS code, county FIPS code, census tract code, and block group number.","[""450019502001"", ""450019503001"", ""450019504001""]",
internal_point_lat,FLOAT,"Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center","[34.3398362, 34.2971527, 34.2467992]",
area_water_meters,NUMBER,Current water area,"[305820, 256780, 177180]",
area_land_meters,NUMBER,Current land area,"[80062389, 83065400, 80709000]",
