column_name,column_type,column_description,sample_value,ref_key
lsad_name,TEXT,,"[""Congressional District 24"", ""Congressional District 25"", ""Congressional District 26""]",
lsad_code,TEXT,,"[""C2""]",
congress_session,TEXT,,"[""116""]",
int_point_lon,FLOAT,,"[-120.112845, -97.8159131, -81.2029593]",
district_geom,BINARY,,[],
state_fips_code,TEXT,,"[""06"", ""48"", ""12""]",
geo_id,TEXT,,"[""0624"", ""4825"", ""1225""]",
mtfcc_feature_class_code,TEXT,,"[""G5200""]",
area_water_meters,NUMBER,,"[3684335356, 315330782, 447055139]",
int_point_lat,FLOAT,,"[34.9196335, 31.5007907, 26.204284]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x18!<\\xda8\\x07^\\xc0,g\\xef\\x8c\\xb6uA@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x0018\\x94\\xeb7tX\\xc0\\x15\\xa4\\xbe\\xd13\\x80?@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd2\\xfa\\x00I\\xfdLT\\xc0\\x99\\x18\\xcb\\xf4K4:@')""]",
district_fips_code,TEXT,,"[""24"", ""25"", ""26""]",
area_land_meters,NUMBER,,"[17832224852, 19743117957, 9077459676]",
functional_status,BOOLEAN,,[false],
