column_name,column_type,column_description,sample_value,ref_key
DATE,TIMESTAMP_LTZ,,"[""2022-07-12 00:00:00-07:00"", ""2022-05-17 00:00:00-07:00"", ""2022-07-26 00:00:00-07:00""]",
REPEAT_PURCHASE_REVENUE_TOTAL_PERCENTAGE_RAW,TEXT,,[],
PERIOD,TEXT,,"[""WEEKLY"", ""MONTHLY""]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
ID,NUMBER,,"[33568, 33303, 33636]",
PRODUCT_TITLE,TEXT,,"[""TITLE_171"", ""TITLE_338"", ""TITLE_579""]",
REPEAT_PURCHASE_REVENUE,FLOAT,,[0.0],
ASIN,TEXT,,"[""ASIN_170"", ""ASIN_51"", ""ASIN_474""]",
UNIQUE_CUSTOMERS,FLOAT,,"[0.0, 8.0, 1.0]",
REPEAT_PURCHASE_REVENUE_TOTAL_PERCENTAGE,FLOAT,,[0.0],
ORDERS,FLOAT,,"[0.0, 8.0, 1.0]",
REPEAT_PURCHASE_REVENUE_RAW,TEXT,,[],
_REVISION,NUMBER,,"[1, 6, 85]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-07-24 15:46:38-07:00"", ""2022-07-24 15:52:20-07:00"", ""2022-07-29 16:22:16-07:00""]",
REPEAT_PURCHASE_REVENUE_PRIOR_PERIOD,FLOAT,,"[0.0, -1.0]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-07-23 15:46:38-07:00"", ""2022-07-23 15:52:20-07:00"", ""2022-08-01 06:19:42-07:00""]",
REPEAT_PURCHASE_REVENUE_PRIOR_PERIOD_RAW,TEXT,,[],
REPEAT_CUSTOMERS_TOTAL_PERCENTAGE_RAW,TEXT,,[],
REPEAT_CUSTOMERS_TOTAL_PERCENTAGE,FLOAT,,[0.0],
