column_name,column_type,column_description,sample_value,ref_key
year_2003,NUMBER,,"[31472, 7480591, 12856163]",
year_2014,NUMBER,,"[37685, 7130576, 15274503]",
year_1988,NUMBER,,"[8435912.0, 736474.0, 314578310.0]",
year_1996,NUMBER,,"[7617794.0, 10982917.0, 873423.0]",
year_2004,NUMBER,,"[32488, 7463157, 13066469]",
year_1963,NUMBER,,"[6183584.0, 577913.0, 169529568.0]",
year_1989,NUMBER,,"[8691334.0, 751047.0, 323219957.0]",
year_1997,NUMBER,,"[7596501.0, 11298600.0, 891190.0]",
year_1970,NUMBER,,"[6996576.0, 613618.0, 201001375.0]",
year_2019,NUMBER,,[],
year_2001,NUMBER,,"[30600, 7503433, 12405408]",
year_1967,NUMBER,,"[6685960.0, 591308.0, 186385902.0]",
year_2006,NUMBER,,"[33441, 7411569, 13477709]",
year_1961,NUMBER,,"[5872966.0, 576395.0, 162259865.0]",
year_2008,NUMBER,,"[33964, 7350222, 13883834]",
year_1984,NUMBER,,"[7447853.0, 697714.0, 283893524.0]",
year_1975,NUMBER,,"[7524447.0, 649751.0, 227761362.0]",
year_1969,NUMBER,,"[6880623.0, 606116.0, 196001924.0]",
year_2007,NUMBER,,"[33811, 7381579, 13679962]",
year_1960,NUMBER,,"[5722370.0, 572930.0, 158779911.0]",
year_2009,NUMBER,,"[34238, 7320807, 14093604]",
year_1978,NUMBER,,"[6957265.0, 673247.0, 245430650.0]",
year_1965,NUMBER,,"[6467197.0, 580966.0, 177509185.0]",
year_1991,NUMBER,,"[7595636.0, 9289299.0, 783124.0]",
year_2011,NUMBER,,"[33435, 7234099, 14541423]",
year_1973,NUMBER,,"[7449238.0, 635107.0, 216681265.0]",
year_1994,NUMBER,,"[7734639.0, 10317899.0, 837110.0]",
year_1990,NUMBER,,"[7586000.0, 8975597.0, 766615.0]",
year_2017,NUMBER,,"[40574, 7020858, 16009414]",
year_1979,NUMBER,,"[6770396.0, 680005.0, 251550765.0]",
year_1980,NUMBER,,"[6693764.0, 685405.0, 257758125.0]",
year_2000,NUMBER,,"[30519, 7516346, 12155239]",
year_1966,NUMBER,,"[6585035.0, 585309.0, 181839891.0]",
year_2018,NUMBER,,"[40654, 6982084, 16249798]",
year_1982,NUMBER,,"[6919801.0, 691702.0, 270462062.0]",
year_1985,NUMBER,,"[7714880.0, 703685.0, 291057942.0]",
year_1976,NUMBER,,"[7404684.0, 657527.0, 233513206.0]",
year_1964,NUMBER,,"[6331449.0, 578625.0, 173410029.0]",
year_1968,NUMBER,,"[6779787.0, 598495.0, 191120090.0]",
year_1981,NUMBER,,"[6749847.0, 689173.0, 264051673.0]",
year_1983,NUMBER,,"[7169997.0, 694077.0, 277049449.0]",
year_1998,NUMBER,,"[31240, 7567745, 11600508]",
year_1993,NUMBER,,"[7699307.0, 9970733.0, 818746.0]",
year_2013,NUMBER,,"[36607, 7164132, 15026332]",
year_1995,NUMBER,,"[7625357.0, 10656138.0, 855383.0]",
year_2015,NUMBER,,"[38825, 7095383, 15521436]",
year_1986,NUMBER,,"[7960949.0, 712340.0, 298550548.0]",
year_2012,NUMBER,,"[34640, 7199077, 14780454]",
country,TEXT,,"[""Sint Maarten (Dutch part)"", ""Serbia"", ""Cambodia""]",
year_1962,NUMBER,,"[6028431.0, 577691.0, 165830670.0]",
year_1977,NUMBER,,"[7196042.0, 665525.0, 239409309.0]",
year_2016,NUMBER,,"[39969, 7058322, 15766293]",
year_2005,NUMBER,,"[33011, 7440769, 13273354]",
year_1971,NUMBER,,"[7139647.0, 620859.0, 206110337.0]",
year_2002,NUMBER,,"[30777, 7496522, 12637727]",
year_2010,NUMBER,,"[34056, 7291436, 14312212]",
year_1999,NUMBER,,"[31084, 7540401, 11886458]",
year_1974,NUMBER,,"[7533336.0, 642332.0, 222154521.0]",
year_1987,NUMBER,,"[8198082.0, 723376.0, 306374108.0]",
country_code,TEXT,,"[""SXM"", ""SRB"", ""KHM""]",
year_1972,NUMBER,,"[7302111.0, 627998.0, 211335895.0]",
year_1992,NUMBER,,"[7646424.0, 9623889.0, 800611.0]",
