column_name,column_type,column_description,sample_value,ref_key
version,TEXT,"For a standard tag, an identifier for the taxonomy; otherwise the accession number where the tag was defined. For example, \""invest/2013\"" indicates that the tag is defined in the 2013 INVEST taxonomy.","[""us-gaap/2012"", ""0001213900-13-001810""]",
period_end_date,NUMBER,"The end date for the data value, rounded to the nearest month end. period_end_date:[ddate]","[20130331, 20110331, 20120831]",
num_quarters,NUMBER,"The count of the number of quarters represented by the data value, rounded to the nearest whole number. A point in time value is represented by 0. num_quarters:[qtrs]","[3, 0, 4]",
coregistrant,TEXT,"If specified, indicates a specific co-registrant, the parent company, or other entity (e.g., guarantor). NULL indicates the consolidated entity. Note that this value is a function of the dimension segments. coregistrant: [coreg]","[""""]",
date_fraction,FLOAT,"The difference between the reported fact date and the month-end rounded date (ddate), expressed as a fraction of 1. For example, a fact reported for 29/Dec, with ddate rounded to 31/Dec, has a datp value of minus 2/31 = -0.0645. date_fraction: [datp]","[0.0, 3.0]",
context,TEXT,"The value of the contextRef attribute in the source XBRL document, which can be used to recover the original HTML tagging if desired.","[""Context_9ME_31-Mar-2013_ShortTermDebtTypeAxis_CcbBankLoanMember"", ""Context_As_Of_31-Mar-2011_StatementScenarioAxis_PeriodTwoMember"", ""Context_Custom_28-Aug-2012_ShortTermDebtTypeAxis_AsherTwoMember""]",
language,TEXT,The ISO language code of the fact content. language:[lang],"[""en-US""]",
duration_fraction,FLOAT,"The difference between the reported fact duration and the quarter duration (qtrs), expressed as a fraction of 1. For example, a fact with duration of 120 days rounded to a 91-day quarter has a durp value of 29/91 = +0.3187. duration_fraction: [durp]","[0.008219957, 0.0, -0.29589]",
measure_tag,TEXT,The unique identifier (name) for a tag in a specific taxonomy release. measure_tag: [tag],"[""DebtInstrumentMaturityDate"", ""DateOfConversionOfUnsecuredNoteIntoPreferredStock""]",
escaped,BOOLEAN,Flag indicating whether the value has had tags removed.,[false],
value,TEXT,"The value, with all whitespace normalized, that is, all sequences of line feeds, carriage returns, tabs, non-breaking spaces, and spaces having been collapsed to a single space, and no leading or trailing spaces. Escaped XML that appears in EDGAR \""Text Block\"" tags is processed to remove all mark-up (comments, processing instructions, elements, attributes). The value is truncated to a maximum number of bytes. The resulting text is not intended for end user display but only for text analysis applications.","[""2012-12-11"", ""2011-04-05"", ""2013-05-30""]",
footnote_length,NUMBER,Number of bytes in the plain text of the footnote prior to truncation. footnote_length: [footlen],[0],
source_length,NUMBER,"Number of bytes in the original, unprocessed value. Zero indicates a NULL value. source_length: [srclen]",[10],
submission_number,TEXT,Accession Number. The 20-character string formed from the 18-digit number assigned by the Commission to each EDGAR submission. submission_number: [adsh],"[""0001144204-13-028224"", ""0001213900-13-001810"", ""0001144204-13-032257""]",
text_length,NUMBER,"The original length of the whitespace normalized value, which may have been greater than 8192. text_length: [txtlen]",[10],
iprx,NUMBER,"A positive integer to distinguish different reported facts that otherwise would have the same primary key. For most purposes, data with iprx greater than 1 are not needed. The priority for the fact based on higher precision, closeness of the end date to a month end, and closeness of the duration to a multiple of three months. See fields dcml, durp and datp below.",[0],
num_dimensions,NUMBER,"Small integer representing the number of dimensions, useful for sorting. Note that this value is function of the dimension segments. num_dimensions: [dimn]",[1],
dimension_hash,TEXT,The 32-byte hexadecimal key for the dimensional information in the DIM data set. dimension_hash: [dimh],"[""0xbdb2da93460e32d978a79323416eab0c"", ""0x80da8f1b3c6b3e3ba6e34c0bfa6deb27"", ""0x7c0b48c505caa2bcec867a56ffd23832""]",
footnote,TEXT,"The plain text of any superscripted footnotes on the value, as shown on the page, truncated to 512 characters, or if there is no footnote, then this field will be blank.","[""""]",
language_decimal,NUMBER,"The value of the fact \""xml:lang\"" attribute, en-US represented by 32767, other \""en\"" dialects having lower values, and other languages lower still. language_decimal: [dcml]",[32767],
