column_name,column_type,column_description,sample_value,ref_key
PAYMENT_STATUS,TEXT,,"[""Successful""]",
AMOUNT_IN_PAYMENT_CURRENCY,FLOAT,,[0.0],
INVOICE_CURRENCY,TEXT,,"[""USD""]",
ID,NUMBER,,"[10777, 10778]",
PAYMENT_VOIDED_REASON,TEXT,,"[""N/A""]",
_REVISION,NUMBER,,"[5, 40]",
PAYMENT_CURRENCY,TEXT,,"[""USD""]",
PAYMENT_DATE,TIMESTAMP_LTZ,,"[""2022-03-01 00:00:00-08:00"", ""2023-01-10 00:00:00-08:00"", ""2022-03-03 00:00:00-08:00""]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
RAW_RECORD,TEXT,,[],
AMOUNT_IN_INVOICE_CURRENCY,FLOAT,,"[316.72, 1656.03]",
EXCHANGE_RATE,FLOAT,,[1.0],
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-03-17 13:38:18-07:00"", ""2023-01-10 20:37:24-08:00"", ""2022-03-19 13:38:18-07:00""]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-03-30 07:08:27-07:00"", ""2023-01-10 20:35:19-08:00"", ""2022-04-01 07:08:27-07:00""]",
PAYMENT_TYPE,TEXT,,"[""EFT""]",
PAYMENT_NUMBER,TEXT,,"[""#_1"", ""#_2""]",
