column_name,column_type,column_description,sample_value,ref_key
victim_role,TEXT,,"[""passenger"", ""driver""]",
victim_safety_equipment_1,TEXT,,"[""child restraint in vehicle used"", ""air bag deployed"", ""lap/shoulder harness used""]",
victim_safety_equipment_2,TEXT,,"["""", ""lap/shoulder harness used""]",
party_number,NUMBER,,"[2, 1]",
victim_seating_position,TEXT,,"[""passenger seat 6"", ""driver"", ""passenger seat 3""]",
victim_age,FLOAT,,"[6.0, 22.0, 9.0]",
victim_degree_of_injury,TEXT,,"[""complaint of pain"", ""other visible injury"", ""killed""]",
case_id,FLOAT,,"[930503.0, 8464312.0, 405926.0]",
victim_ejected,TEXT,,"[""not ejected"", ""unknown""]",
victim_sex,TEXT,,"[""male"", ""female""]",
id,NUMBER,,"[952544, 3477397, 425505]",
