column_name,column_type,column_description,sample_value,ref_key
PRIMARY_EXCHANGE_NAME,TEXT,The exchange name for the primary trading venue of a security.,[],
PRIMARY_TICKER,TEXT,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market.",[],
ENTITY_LEVEL,TEXT,"Describes the type or level of the entity for additional convenience. Currently, all entities are corporate entities and are denoted as 'Corporate'.","[""Corporate""]",
PERMID_COMPANY_ID,TEXT,"Permanent Identifier, which is a identifier provided by Refinitiv (via PermID) to provide a way to uniquely identify a company.","[""5087020389"", ""5087193531"", ""4297623383""]",
LEI,ARRAY,"Legal Entity Identifier, a unique identifier from GLEIF that identifies legal entities that engage in financial transactions.",[],
COMPANY_ID,TEXT,Unique identifier assigned by Cybersyn to each company.,"[""9cee45c58a4fdb6bb265552a0db62a00"", ""7766ef904f8648e8b8ac520b7267d5b5"", ""bfd8994995275e9917290bc423536fd6""]",
EIN,TEXT,"Employer Identification Number, a unique identification number that is assigned to a business by the IRS.",[],
PRIMARY_EXCHANGE_CODE,TEXT,The exchange code for the primary trading venue of a security.,[],
GLOBAL_TICKERS,ARRAY,An array of ticker symbols under which the security may be traded globally on all exchanges.,[],
COMPANY_NAME,TEXT,The name of the company.,"[""VENDERA RESOURCES VI-A LP"", ""RT-AI I LLC"", ""PANTHEON GLOBAL SECONDARY FUND III B L P""]",
CIK,TEXT,"Central Index Key, a unique identifier for corporations registered with the United States Securities and Exchange Commission (SEC).","[""0002011467"", ""0002018929"", ""0001371639""]",
