column_name,column_type,column_description,sample_value,ref_key
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""32""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xc9\\xcf\\xa1g\\x8e\\x9e]\\xc0\\xce\\x88\\xd2\\xde\\xe0\\x16D@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00*,\\x02\\xad\\n\\x88\\\\\\xc0\\x82\\x92]\\xc4\\xd2gB@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x9e\\x80&\\xc2\\x06\\xbd\\\\\\xc0\\xa9\\xaf\\x9d\\xde{\\x8eD@')""]",
place_gnis_code,TEXT,Current place GNIS code,"[""02410887"", ""02411089"", ""02412210""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
place_name,TEXT,Full text name of the place,"[""Lovelock"", ""Mesquite"", ""Wells""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[2230209, 81799366, 17880755]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-118.4774417, -114.1256516, -114.9535375]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[40.1787375, 36.8111196, 41.1131552]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""3243000"", ""3246000"", ""3283000""]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[0, 1147005, 289555]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Lovelock city"", ""Mesquite city"", ""Wells city""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""43000"", ""46000"", ""83000""]",
