column_name,column_type,column_description,sample_value,ref_key
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,"[1, 2]",
rate_code,NUMBER,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,[1.0],
extra,FLOAT,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges",[0.5],
mta_tax,FLOAT,$0.50 MTA tax that is automatically triggered based on the metered rate in use,[0.5],
dropoff_latitude,FLOAT,,"[40.76344680786133, 40.795162200927734, 40.745521545410156]",
tip_amount,FLOAT,Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.,[0.0],
vendor_id,TEXT,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.","[""2"", ""1""]",
imp_surcharge,FLOAT,$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.,[0.3],
total_amount,FLOAT,The total amount charged to passengers. Does not include cash tips.,[31.8],
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","[""N""]",
dropoff_datetime,NUMBER,The date and time when the meter was disengaged,"[1433973843000000, 1434574995000000, 1423800264000000]",
tolls_amount,FLOAT,Total amount of all tolls paid in trip.,[0.0],
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""2"", ""1""]",
dropoff_longitude,FLOAT,,"[-73.98143005371094, -73.9671401977539, -73.87117004394531]",
pickup_longitude,FLOAT,,"[-73.86290740966797, -74.01133728027344, -73.98441314697266]",
fare_amount,FLOAT,The time-and-distance fare calculated by the meter,[30.5],
pickup_latitude,FLOAT,,"[40.768760681152344, 40.709251403808594, 40.759681701660156]",
pickup_datetime,NUMBER,The date and time when the meter was engaged,"[1433972235000000, 1434572832000000, 1423798087000000]",
trip_distance,FLOAT,The elapsed trip distance in miles reported by the taximeter.,"[9.71, 7.32, 8.48]",
