column_name,column_type,column_description,sample_value,ref_key
lose_code_ncaa,NUMBER,School code of the losing team (see http://stats.ncaa.org/game_upload/team_codes),"[528, 257, 191]",
win_seed,TEXT,Seed of the winning team,"[""11"", ""14"", ""04""]",
lose_pts,NUMBER,Points scored by the losing team,"[90, 70, 39]",
lose_seed,TEXT,Seed of the losing team,"[""06"", ""03"", ""13""]",
days_from_epoch,NUMBER,"Days from epoch, as defined in the Kaggle competition (https://www.kaggle.com/c/mens-machine-learning-competition-2018/data)","[7015, 9934, 8842]",
win_school_ncaa,TEXT,School name of the winning team (see http://stats.ncaa.org/game_upload/team_codes),"[""Evansville"", ""Chattanooga"", ""Temple""]",
season,NUMBER,"Year the game was played in. Note that this is different from the ""season"" values in other tables here, which use academic year.","[1989, 1997, 1994]",
lose_team_id,TEXT,Sportradar team ID of the losing team,"[""532d3874-b4b3-4c5c-acc6-749a6db26c8f"", ""4f4b0771-994c-4126-822d-7525aaa00f65"", ""f2d01b77-0f5d-4574-9e49-2a3eaf822e44""]",
win_market,TEXT,School name (using Sportradar names) of the winning team,"[""Evansville"", ""Chattanooga"", ""Temple""]",
day,TEXT,Day of the week the game was played,"[""Friday"", ""Thursday""]",
lose_alias,TEXT,Team alias of the losing team,"[""ORST"", ""UGA"", ""DREX""]",
win_name,TEXT,Team name of the winning team,"[""Aces"", ""Mocs"", ""Owls""]",
win_code_ncaa,NUMBER,School code of the winning team (see http://stats.ncaa.org/game_upload/team_codes),"[219, 693, 690]",
lose_market,TEXT,School name (using Sportradar names) of the losing team,"[""Oregon State"", ""Georgia"", ""Drexel""]",
win_pts,NUMBER,Points scored by the winning team,"[94, 73, 61]",
lose_name,TEXT,Team name of the losing team,"[""Beavers"", ""Bulldogs"", ""Dragons""]",
game_date,DATE,Date the game was played,"[""1989-03-17"", ""1997-03-14"", ""1994-03-18""]",
win_alias,TEXT,Team alias of the winning team,"[""EVAN"", ""CHAT"", ""TEM""]",
lose_school_ncaa,TEXT,School name of the losing team (see http://stats.ncaa.org/game_upload/team_codes),"[""Oregon St."", ""Georgia"", ""Drexel""]",
win_team_id,TEXT,Sportradar team ID of the winning team,"[""d8217105-e9c2-4267-9538-3aaeea1ae167"", ""4c9fb59b-6cec-4b0d-bb0f-628b391d138c"", ""8598d1b6-106b-4083-a512-2e495729525a""]",
num_ot,NUMBER,Number of overtime periods played in the game,"[1, 0]",
round,NUMBER,"Tournament round, indicated by the number of teams playing in that round","[64, 16]",
win_region,TEXT,"Region of the winning team, as defined in the Kaggle competition (https://www.kaggle.com/c/mens-machine-learning-competition-2018/data)","[""X"", ""W""]",
lose_region,TEXT,"Region of the losing team, as defined in the Kaggle competition (https://www.kaggle.com/c/mens-machine-learning-competition-2018/data)","[""X"", ""W""]",
academic_year,NUMBER,The academic year the game was played in,"[1988, 1996, 1993]",
win_kaggle_team_id,NUMBER,Kaggle team ID of the winning team,"[1191, 1151, 1396]",
lose_kaggle_team_id,NUMBER,Kaggle team ID of the losing team,"[1333, 1208, 1180]",
