column_name,column_type,column_description,sample_value,ref_key
miscrevtot11d,NUMBER,,[0],
tax_pd,NUMBER,,"[201401, 201312, 201409]",
totliabend,NUMBER,,"[1684160, 31883, 1079570]",
actonbehalfcd,TEXT,,"[""N""]",
prgmservcode2ccd,NUMBER,,[0],
grsinc170,NUMBER,,"[0, 24573, 3561]",
accntspayableend,NUMBER,,"[76855, 0, 8922]",
ein,TEXT,,"[""133646718"", ""300134271"", ""203302630""]",
totnetliabastend,NUMBER,,"[1079659, 1079606, 1079570]",
compnsatncurrofcr,NUMBER,,"[0, 55254]",
totrev2acola,NUMBER,,"[287037, 0, 56946]",
totsupp170,NUMBER,,"[0, 682102, 238484]",
totrev2ecola,NUMBER,,[0],
reltdorgcd,TEXT,,"[""Y"", ""N""]",
frgngrntscd,TEXT,,"[""N""]",
rptothasstcd,TEXT,,"[""Y"", ""N""]",
totrev2ccola,NUMBER,,[0],
invstmntsothrend,NUMBER,,"[0, 95239]",
dirbusnreltdcd,TEXT,,"[""N""]",
pensionplancontrb,NUMBER,,[0],
royaltsexpns,NUMBER,,[0],
nonintcashend,NUMBER,,"[186743, 230238, 9769]",
filedf720cd,TEXT,,"[""N""]",
crcounselingqstncd,TEXT,,"[""Y"", ""N""]",
ceaseoperationscd,TEXT,,"[""N""]",
exprstmntcd,TEXT,,"[""N""]",
sellorexchcd,TEXT,,"[""N""]",
prgmservcode2dcd,NUMBER,,[0],
qualhlthonhnd,NUMBER,,[0],
netgnls,NUMBER,,"[0, 1202]",
interestamt,NUMBER,,"[1181, 1110, 0]",
grsrcptsadmissn509,NUMBER,,"[1401280, 0]",
deprcatndepletn,NUMBER,,"[65105, 75460, 32576]",
hldassetsintermpermcd,TEXT,,"[""N""]",
rptothliabcd,TEXT,,"[""Y"", ""N""]",
rptincgamingcd,TEXT,,"[""N""]",
rptinvstprgrelcd,TEXT,,"[""N""]",
travel,NUMBER,,[0],
notesloansrcvblend,NUMBER,,"[98590, 0, 115645]",
politicalactvtscd,TEXT,,"[""N""]",
totsupp509,NUMBER,,"[1455615, 0]",
conduct5percentcd,TEXT,,"[""N""]",
othrexpnsc,NUMBER,,"[3676, 5273, 0]",
travelofpublicoffcl,NUMBER,,[0],
fndsrcvdcd,TEXT,,"[""N""]",
filedf8282cd,TEXT,,"[""N""]",
srvcsval170,NUMBER,,[0],
f1096cnt,NUMBER,,"[1, 0, 6]",
rntlexpnsreal,NUMBER,,[0],
rcvbldisqualend,NUMBER,,[0],
rntlexpnsprsnl,NUMBER,,[0],
othrliabend,NUMBER,,"[20003, 0, 273034]",
grantoofficercd,TEXT,,"[""N""]",
frgnofficecd,TEXT,,"[""N""]",
pymtoaffiliates,NUMBER,,[0],
miscrev11ccd,NUMBER,,[0],
lndbldgsequipend,NUMBER,,"[572751, 754129, 1066543]",
prohibtdtxshltrcd,TEXT,,"[""N""]",
prepaidexpnsend,NUMBER,,"[30181, 0, 1515]",
unrelbusinccd,TEXT,,"[""N""]",
miscrev11bcd,NUMBER,,[0],
svngstempinvend,NUMBER,,"[0, 69567]",
benifitsmembrs,NUMBER,,[0],
grsincmembers,NUMBER,,[0],
hospaudfinstmtcd,TEXT,,"[""N""]",
txexmptbndsproceeds,NUMBER,,[0],
othrexpnsd,NUMBER,,"[0, 3479, 6607]",
recvnoncashcd,TEXT,,"[""N""]",
distribtodonorcd,TEXT,,"[""N""]",
subseccd,NUMBER,,"[3, 2]",
grsinc509,NUMBER,,"[47586, 0]",
recvartcd,TEXT,,"[""N""]",
totgftgrntrcvd509,NUMBER,,[0],
operatehosptlcd,TEXT,,"[""N""]",
samepubsuppsubtot170,NUMBER,,"[0, 657529, 238484]",
othrinc170,NUMBER,,"[0, 485068]",
txrevnuelevied509,NUMBER,,[0],
grsrntsreal,NUMBER,,"[0, 4725, 32578]",
filedf1098ccd,TEXT,,"[""N""]",
fw2gcnt,NUMBER,,[0],
netincfndrsng,NUMBER,,"[0, 2319, 147950]",
gftgrntsrcvd170,NUMBER,,"[0, 118639, 238484]",
legalfees,NUMBER,,"[10016, 0]",
s501c3or4947a1cd,TEXT,,"[""Y"", ""N""]",
feesforsrvcothr,NUMBER,,"[5211, 0]",
ownsepentcd,TEXT,,"[""N""]",
prgmservcode2ecd,NUMBER,,[0],
totnooforgscnt,NUMBER,,[0],
subtotsuppinc509,NUMBER,,"[47586, 0]",
intincntrlcd,TEXT,,"[""N""]",
gnlsecur,NUMBER,,"[0, 1202]",
rcvdfrmdisqualsub509,NUMBER,,[0],
rptinvstothsecd,TEXT,,"[""N"", ""Y""]",
grntstogovt,NUMBER,,[0],
exceeds1pct509,NUMBER,,[0],
lessdirfndrsng,NUMBER,,"[0, 3081, 103244]",
filedf990tcd,TEXT,,"[""N""]",
elf,TEXT,,"[""P"", ""E""]",
frgnaggragrntscd,TEXT,,"[""N""]",
miscrevtot11e,NUMBER,,"[1360, 947, 96812]",
grsincgaming,NUMBER,,[0],
totestcompf,NUMBER,,"[0, 61580]",
frgnrevexpnscd,TEXT,,"[""N""]",
netrntlinc,NUMBER,,"[0, 4725, 32578]",
infotech,NUMBER,,[0],
premiumspaidcd,TEXT,,"[""N""]",
pubsuppsubtot170,NUMBER,,"[0, 657529, 238484]",
providegoodscd,TEXT,,"[""N""]",
netincunrelatd509,NUMBER,,[0],
compnsatnandothr,NUMBER,,[0],
servasofficercd,TEXT,,"[""N""]",
rptgrntstoindvcd,TEXT,,"[""N""]",
nocontractor100kcnt,NUMBER,,[0],
paidinsurplusend,NUMBER,,[0],
prgmservcode2bcd,NUMBER,,[0],
qualhlthplncd,TEXT,,"[""N""]",
grsincfndrsng,NUMBER,,"[0, 5400, 251194]",
pubsupplesspct170,NUMBER,,"[0, 551448, 238484]",
grsrcptsactivities509,NUMBER,,[0],
unreltxincls511tx509,NUMBER,,[0],
wthldngrulescd,TEXT,,"[""N"", ""Y""]",
grnsttoindiv,NUMBER,,[0],
prgmservcode2acd,NUMBER,,"[531110, 0, 900099]",
totreprtabled,NUMBER,,"[10016, 0, 19354]",
grsrntsprsnl,NUMBER,,[0],
rptlndbldgeqptcd,TEXT,,"[""Y""]",
fmlybusnreltdcd,TEXT,,"[""N""]",
unrstrctnetasstsend,NUMBER,,"[-604501, 1047723, 0]",
gnlsothr,NUMBER,,[0],
pldgegrntrcvblend,NUMBER,,"[25704, 0]",
srvcsval509,NUMBER,,[0],
schdbind,TEXT,,"[""N"", ""Y""]",
retainedearnend,NUMBER,,[0],
invntriesalesend,NUMBER,,[0],
totrev2fcola,NUMBER,,[0],
orgtrnsfrcd,TEXT,,"[""N""]",
temprstrctnetasstsend,NUMBER,,"[0, 61293]",
maintwrkofartcd,TEXT,,"[""N""]",
othrassetsend,NUMBER,,"[98577, 0, 3258]",
grsrcptspublicuse,NUMBER,,[0],
totcomprelatede,NUMBER,,"[416327, 0, 214801]",
rptprofndrsngfeescd,TEXT,,"[""N""]",
netincunreltd170,NUMBER,,[0],
initiationfees,NUMBER,,[0],
lbbyingactvtscd,TEXT,,"[""N""]",
insurance,NUMBER,,"[11424, 6267, 0]",
