column_name,column_type,column_description,sample_value,ref_key
safetystocklevel,NUMBER,,"[800, 500, 1000]",
productid,NUMBER,,"[4, 317, 318]",
productline,TEXT,,"[""""]",
sellstartdate,TEXT,,"[""2008-04-30 00:00:00""]",
productmodelid,TEXT,,"[""""]",
reorderpoint,NUMBER,,"[600, 375, 750]",
rowguid,TEXT,,"[""ecfed6cb-51ff-49b5-b06c-7d8ac834db8b"", ""3c9d10b7-a6b2-4774-9963-c19dcee72fea"", ""eabb9a92-fa07-4eab-8955-f0517b4a4ca7""]",
color,TEXT,,"["""", ""Black"", ""Silver""]",
daystomanufacture,NUMBER,,[0],
weightunitmeasurecode,TEXT,,"[""""]",
discontinueddate,TEXT,,"[""""]",
standardcost,FLOAT,,[0.0],
makeflag,TEXT,,"[""f""]",
sizeunitmeasurecode,TEXT,,"[""""]",
sellenddate,TEXT,,"[""""]",
modifieddate,TEXT,,"[""2014-02-08 10:01:36.827""]",
finishedgoodsflag,TEXT,,"[""f""]",
weight,TEXT,,"[""""]",
productsubcategoryid,TEXT,,"[""""]",
NAME,TEXT,,"[""Headset Ball Bearings"", ""LL Crankarm"", ""ML Crankarm""]",
listprice,FLOAT,,[0.0],
class,TEXT,,"["""", ""L "", ""M ""]",
productnumber,TEXT,,"[""BE-2908"", ""CA-5965"", ""CA-6738""]",
size,TEXT,,"[""""]",
style,TEXT,,"[""""]",
