column_name,column_type,column_description,sample_value,ref_key
Purity,FLOAT,Purity estimates; values betwen 0 and 1 representing the fraction of cancer cells in a solid tumor sample,"[0.25, 0.24, 0.22]",
Study,TEXT,"TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations","[""LAML"", ""THYM"", ""LUAD""]",
Cancer_DNA_fraction,FLOAT,Cancer DNA fractions; more information available at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4383288/,[0.25],
CallStatus,TEXT,"Either 'called' or NULL indicating if data data were analyzed or not, respectively","[""called""]",
SampleBarcode,TEXT,"Barcode of the biospecimen sample, eg TCGA-13-1489-02A","[""TCGA-AB-2879-03A"", ""TCGA-ZC-AAAH-01A"", ""TCGA-44-3396-01A""]",
ParticipantBarcode,TEXT,"TCGA barcode identifier for the study participant, eg TCGA-02-0001","[""TCGA-AB-2879"", ""TCGA-ZC-AAAH"", ""TCGA-44-3396""]",
SampleTypeLetterCode,TEXT,"Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes","[""TB"", ""TP""]",
Subclonal_genome_fraction,FLOAT,Subclonal genome fractions; more information available at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4383288/,"[0.0, 0.09, 0.16]",
Genome_doublings,FLOAT,Number of whole genome doublings,[0.0],
Ploidy,FLOAT,Value based on the DNA content of the tumor cell population compared to normal diploid,"[2.0, 2.13, 2.38]",
Solution,TEXT,New' or 'old' calculations/solutions,"[""new""]",
SampleType,TEXT,"There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal","[""Primary Blood Derived Cancer - Peripheral Blood"", ""Primary solid Tumor""]",
AliquotBarcode,TEXT,"TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28","[""TCGA-AB-2879-03A-01D-0756-21"", ""TCGA-ZC-AAAH-01A-11D-A427-01"", ""TCGA-44-3396-01A-01D-1204-01""]",
Coverage_for_80_power,FLOAT, Average coverage necessary to obtain 80% power in 80% fraction of the genome,"[43.0, 45.0, 52.0]",
