column_name,column_type,column_description,sample_value,ref_key
sample_id,TEXT,,"[""e46343f9-204d-11e9-b7f8-0a80fada099c"", ""563a9bbe-204d-11e9-b7f8-0a80fada099c"", ""ee937d7d-204d-11e9-b7f8-0a80fada099c""]",
protein_abundance_log2ratio,FLOAT,,"[-0.8628, 0.9431, -1.0278]",
authority_gene_id,TEXT,,"[""7419""]",
aliquot_submitter_id,TEXT,,"[""CPT0077320001"", ""CPT0011410003"", ""CPT0088630003""]",
aliquot_run_metadata_id,TEXT,,"[""a6231a02-207c-11e9-b7f8-0a80fada099c"", ""4e95edff-207d-11e9-b7f8-0a80fada099c"", ""7193d2f6-207c-11e9-b7f8-0a80fada099c""]",
proteins,TEXT,,"[""P00395;YP_003024028.1""]",
uniprotkb_ids,TEXT,,"[""P00395""]",
uniprotkb_id,TEXT,,"[""P00395""]",
gene_description,TEXT,,"[""cytochrome c oxidase subunit I""]",
gene_id,TEXT,,"[""f7b24772-b814-11e8-907f-0a2705229b82""]",
aliquot_id,TEXT,,"[""dcbb61d1-2053-11e9-b7f8-0a80fada099c"", ""8a03a9e2-2053-11e9-b7f8-0a80fada099c"", ""07e62862-2054-11e9-b7f8-0a80fada099c""]",
assays,TEXT,,[],
chromosome,TEXT,,"[""MT""]",
organism,TEXT,,"[""Homo sapiens""]",
case_id,TEXT,,"[""aff10fc2-1fb9-11e9-b7f8-0a80fada099c"", ""77001dc1-1fb9-11e9-b7f8-0a80fada099c"", ""b6b4f9ee-1fb9-11e9-b7f8-0a80fada099c""]",
study_name,TEXT,,"[""CPTAC CCRCC Discovery Study - Proteome""]",
gene_symbol,TEXT,,"[""COX1""]",
locus,TEXT,,"[""-""]",
authority,TEXT,,"[""HGNC""]",
NCBI_gene_id,TEXT,,"[""4512""]",
