column_name,column_type,column_description,sample_value,ref_key
gene_id,TEXT,,"[""f7b24ee5-b814-11e8-907f-0a2705229b82""]",
sample_id,TEXT,,"[""9598ad9c-a212-4867-9c95-66bfc772c816"", ""a464157d-c523-4c9c-b077-5fa22838bfcd"", ""1f0f3802-931b-43d3-a222-bd7149768bbf""]",
aliquot_submitter_id,TEXT,,"[""PTRC_exp12_P6-6"", ""PTRC_exp12_P6-8"", ""PTRC_exp12_P6-5""]",
study_name,TEXT,,"[""AML Quizartinib Resistance -  Proteome""]",
aliquot_id,TEXT,,"[""5610ffd5-08ea-4a4b-915d-c270a050b3f2"", ""e8a2119a-b0c3-413b-b4a1-3554a7bc7303"", ""113a0009-fa99-4f79-965f-b024a49ab90e""]",
locus,TEXT,,"[""-""]",
proteins,TEXT,,"[""P00403;YP_003024029.1""]",
uniprotkb_ids,TEXT,,"[""P00403""]",
organism,TEXT,,"[""Homo sapiens""]",
uniprotkb_id,TEXT,,"[""P00403""]",
assays,TEXT,,[],
gene_symbol,TEXT,,"[""COX2""]",
case_id,TEXT,,"[""4a4b2172-550c-4dbd-adad-8b3425f3ddea""]",
authority_gene_id,TEXT,,"[""7421""]",
aliquot_run_metadata_id,TEXT,,"[""788a3c6b-81d3-4752-aa7e-e2269227112f"", ""8a1fed37-f73f-45ac-af3b-fde2119c6cfa"", ""974cc151-c6b4-4339-a466-021265f9c221""]",
NCBI_gene_id,TEXT,,"[""4513""]",
protein_abundance_log2ratio,FLOAT,,"[0.4451, 0.3842, 0.2482]",
gene_description,TEXT,,"[""cytochrome c oxidase subunit II""]",
authority,TEXT,,"[""HGNC""]",
chromosome,TEXT,,"[""MT""]",
