column_name,column_type,column_description,sample_value,ref_key
size,NUMBER,,"[0, 92]",
security_threat_model_filename,TEXT,,[],
contributors_count,NUMBER,,"[1, 0]",
fork_source_name_with_owner,TEXT,,[],
contributing_guidelines_filename,TEXT,,[],
display_name,TEXT,,"[""GitHub""]",
last_synced_timestamp,NUMBER,,"[1507855753000000, 1507855822000000, 1507855967000000]",
security_audit_filename,TEXT,,[],
updated_timestamp,NUMBER,,"[1507855753000000, 1507855822000000, 1507855967000000]",
uuid,TEXT,,"[""106760225"", ""106760270"", ""106760442""]",
readme_filename,TEXT,,"[""README.md"", ""readme.md""]",
description,TEXT,,"[""201 project 6 and 7"", ""wp projects boiler"", ""HTML, CSS and JavaScript.""]",
stars_count,NUMBER,,[0],
issues_enabled,BOOLEAN,,[true],
code_of_conduct_filename,TEXT,,[],
pull_requests_enabled,TEXT,,"[""git""]",
last_pushed_timestamp,NUMBER,,"[1507855749000000, 1507855797000000, 1507855949000000]",
name_with_owner,TEXT,,"[""rjtj2007/cookie_stand"", ""Joey89/Boiler"", ""rangelbruno/aplicasaude""]",
created_timestamp,NUMBER,,"[1507855748000000, 1507855795000000, 1507855948000000]",
license_filename,TEXT,,"[""LICENSE""]",
homepage_url,TEXT,,[],
forks_count,NUMBER,,[0],
id,NUMBER,,"[29309536, 29309565, 29309618]",
mirror_url,TEXT,,[],
default_branch,TEXT,,"[""master""]",
logo_url,TEXT,,[],
watchers_count,NUMBER,,"[0, 1]",
sourcerank,NUMBER,,"[3, 2, 1]",
open_issues_count,NUMBER,,"[0, 1]",
host_type,TEXT,,"[""GitHub""]",
status,TEXT,,[],
pages_enabled,BOOLEAN,,[false],
an,TEXT,,[],
wiki_enabled,BOOLEAN,,[true],
changelog_filename,TEXT,,[],
fork,BOOLEAN,,[false],
keywords,TEXT,,[],
language,TEXT,,"[""CSS""]",
license,TEXT,,"[""MIT""]",
scm_type,TEXT,,[],
