column_name,column_type,column_description,sample_value,ref_key
location_tolerances,TEXT,,"[""Small Tree Pit (<3 ft)""]",
comments,TEXT,,"["""", ""Asian Long Horn Beetle Quarantine Species – Planting NOT RECOMMENDED in Brooklyn, Manhattan, Queens, and Staten Island""]",
environmental_tolerances,TEXT,,"[""none"", ""Shade Tolerant"", ""High pH Tolerant""]",
tree_size,TEXT,,"[""Small (Mature Height < 25 ft)""]",
notes_suggested_cultivars,TEXT,,"[""'Royal Purple' or 'Grace'"", ""'Accolade' is Semi–double Flowering;"", ""Plant Spring Only""]",
species_common_name,TEXT,,"[""Smoke Tree"", ""Sargent Cherry"", ""American Hornbeam""]",
growth_rate,TEXT,,"[""Slow""]",
fall_color,TEXT,,"[""Red/Bronze"", ""Yellow/Orange"", ""Red""]",
form,TEXT,,"[""Rounded""]",
species_scientific_name,TEXT,,"[""Cotinus sp."", ""Prunus sargentii"", ""Carpinus caroliniana""]",
