column_name,column_type,column_description,sample_value,ref_key
basisalesexpnsothr,NUMBER,Cost or other basis and sales expenses,[0],
totsupport,NUMBER,Sum of amounts of support,[0],
s4958excessbenefcd,TEXT,Section 4958 excess benefit transactions?,"[""N""]",
direxpns,NUMBER,Special events direct expenses,"[0, 50981]",
subseccd,NUMBER,Subsection code,[3],
gnsaleofastothr,NUMBER,Gain or (loss) from sale of assets,[0],
filedf1120polcd,TEXT,File Form 1120-POL?,"[""N""]",
totcntrbs,NUMBER,Contributions gifts grants etc received,"[0, 2500]",
exceeds2pct170,NUMBER,Amount support exceeds total (170),[0],
pubsupplesspct170,NUMBER,Public support (170),[0],
elf,TEXT,E-file indicator,"[""E"", ""P""]",
totsupp170,NUMBER,Total support (170),[0],
txrevnuelevied509,NUMBER,Tax revenues levied (509),[0],
srvcsval509,NUMBER,Services or facilities furnished by gov (509),[0],
duesassesmnts,NUMBER,Membership dues and assessments,[0],
netincfndrsng,NUMBER,Special events net income (or loss),"[0, -50981]",
pubsuppsubtot509,NUMBER,Public support subtotal (509),"[0, 192099]",
grsincgaming,NUMBER,Gross income from gaming,[0],
grsrcptsactivities509,NUMBER,Gross receipts from related activities (509),[0],
prohibtdtxshltrcd,TEXT,Party to a prohibited tax shelter transaction?,"[""N""]",
unrelbusincd,TEXT,UBI over $1000?,"[""N""]",
srvcsval170,NUMBER,Services or facilities furnished by gov (170),[0],
grsalesminusret,NUMBER,Gross sales of inventory,[0],
unreltxincls511tx509,NUMBER,Net UBI (509),[0],
othrevnue,NUMBER,Other revenue - total,"[49671, 935, 0]",
grsamtsalesastothr,NUMBER,Gross amount from sale of assets,[0],
grsinc170,NUMBER,Gross income from interest etc (170),[0],
samepubsuppsubtot509,NUMBER,Public support from line 6 (509),"[0, 192099]",
netincunreltd170,NUMBER,Net UBI (170),[0],
grsrevnuefndrsng,NUMBER,Special events gross revenue,[0],
totexpns,NUMBER,Total expenses,"[0, 3350, 7714]",
initiationfee,NUMBER,Initiation fees and capital contributions,[0],
grsinc509,NUMBER,Gross income from interest etc (509),"[0, 2]",
rcvdfrmdisqualsub509,NUMBER,Amounts from disqualified persons (509),[0],
networthend,NUMBER,Net assets EOY,"[-66294461, -17345013, -17337217]",
samepubsuppsubtot170,NUMBER,Public support from line 4 (170),[0],
chngsinorgcd,TEXT,Significant changes to governing docs?,"[""N""]",
grsrcptsrelated170,NUMBER,Gross receipts from related activities (170),[0],
othrinc170,NUMBER,Other income (170),[0],
totassetsend,NUMBER,Total assets e-o-y,"[210102, 77664, 38240]",
actvtynotprevrptcd,TEXT,Activity not previously reported?,"[""N""]",
costgoodsold,NUMBER,Less: cost of goods sold,[0],
othrinc509,NUMBER,Other income (509),[0],
totexcessyr,NUMBER,Excess or deficit,"[101858, 9585, 7797]",
contractioncd,TEXT,Liquidation dissolution termination or contraction,"[""N""]",
grsrcptsadmissn509,NUMBER,Receipts from admissions merchandise etc (509),"[0, 130664]",
totsupp509,NUMBER,Total support (509),"[0, 192101]",
netincunrelatd509,NUMBER,Net income from UBI not in 10b (509),[0],
politicalexpend,NUMBER,Direct or indirect political expenditures,[0],
othrchgsnetassetfnd,NUMBER,Other changes in net assets,"[834138, 0, -20]",
totgftgrntrcvd509,NUMBER,Gifts grants membership fees received (509),"[0, 61435]",
txrevnuelevied170,NUMBER,Tax revenues levied (170),[0],
subtotpub509,NUMBER,Public support subtotal (509),[0],
totnetassetsend,NUMBER,Total net worth e-o-y,"[-66294461, -17345013, -17337217]",
gftgrntsrcvd170,NUMBER,Gifts grants membership fees received (170),[0],
totrevnue,NUMBER,Total revenue,"[101858, 12935, 15511]",
ein,TEXT,Employer Identification Number,"[""561943271"", ""221739910"", ""464049491""]",
nonpfrea,NUMBER,Reason for non-PF status,"[3, 12, 9]",
pubsupplesub509,NUMBER,Public support (509),"[0, 192099]",
totliabend,NUMBER,Total liabilities e-o-y,"[66504563, 17422677, 17375457]",
prgmservrev,NUMBER,Program service revenue,"[52187, 12000, 15511]",
filedf990tcd,TEXT,Organization Filed 990T,"[""N""]",
subtotsuppinc509,NUMBER,Subtotal total support (509),"[0, 2]",
tax_pd,NUMBER,Tax period,"[201406, 201312, 201412]",
exceeds1pct509,NUMBER,Amount support exceeds total (509),[0],
pubsuppsubtot170,NUMBER,Public support subtotal (170),[0],
loanstoofficerscd,TEXT,Loans to/from officers directors or trustees?,"[""N""]",
othrinvstinc,NUMBER,Investment income,[0],
grspublicrcpts,NUMBER,Gross receipts for public use of club facilities,[0],
loanstoofficers,NUMBER,Amount of loans to/from officers,[0],
totnooforgscnt,NUMBER,Number of organizations supported,"[0, 1]",
grsprft,NUMBER,Gross profit (or loss) from sales of inventory,[0],
