column_name,column_type,column_description,sample_value,ref_key
aliquot_run_metadata_id,TEXT,,"[""31bf6392-28a8-430e-a8c4-08a8a289b058"", ""e9d2fc4d-c33b-4896-8850-03f2352290a5"", ""d7b46436-fe2c-49f3-b97d-581b9b0f165d""]",
authority_gene_id,TEXT,,"[""3438""]",
sample_id,TEXT,,"[""4424ea97-0c17-4ce7-9319-5b274469e53f"", ""40e0839e-cee8-4e81-baae-f88ba5f4930e"", ""4a0974f0-fd95-447a-9e76-d173873c3e3f""]",
case_id,TEXT,,"[""6abdfa5b-ab89-4ac9-974f-427a4007a133"", ""b2412ff4-1532-4ace-b1ef-78ef45f492f2"", ""234b3e4e-525d-438f-a71a-4c007ba6ccbb""]",
study_name,TEXT,,"[""CPTAC PDA Discovery Study - Proteome""]",
uniprotkb_id,TEXT,,"[""Q03468""]",
authority,TEXT,,"[""HGNC""]",
protein_abundance_log2ratio,FLOAT,,"[-0.3004, -0.5495, 0.004]",
gene_symbol,TEXT,,"[""ERCC6""]",
organism,TEXT,,"[""Homo sapiens""]",
gene_id,TEXT,,"[""f81e490e-b814-11e8-907f-0a2705229b82""]",
locus,TEXT,,"[""10q11.23""]",
assays,TEXT,,[],
aliquot_submitter_id,TEXT,,"[""CPT0248410004"", ""CPT0237910004"", ""CPT0092630003""]",
aliquot_id,TEXT,,"[""afa7c424-1e10-4c73-9a59-e5fd9c988864"", ""889d31d6-bdaa-4b50-b67e-294e66ccd098"", ""43395bee-6b38-4f8a-b220-e2f3a59d2abf""]",
proteins,TEXT,,"[""D6R9X7;NP_000115.1;NP_001263987.1;NP_001263988.1;NP_001333369.1;Q03468;Q03468-2;Q8N328""]",
NCBI_gene_id,TEXT,,"[""2074""]",
uniprotkb_ids,TEXT,,"[""D6R9X7;Q03468;Q8N328""]",
gene_description,TEXT,,"[""ERCC excision repair 6, chromatin remodeling factor""]",
chromosome,TEXT,,"[""10""]",
