column_name,column_type,column_description,sample_value,ref_key
y_proba_logi_pathogenicity,FLOAT,,"[0.06419508904218674, 0.06463130563497543, 0.06411707401275635]",
alt,TEXT,,"[""GT"", ""T"", ""G""]",
chrom,TEXT,,"[""2"", ""17""]",
y_proba_logi_molecularQTL,FLOAT,,"[0.02663401886820793, 0.04719509184360504, 0.044152189046144485]",
pos,NUMBER,,"[169155682, 169139071, 169013391]",
y_proba_dist_foot,FLOAT,,[0.02039780281484127],
y_proba_logo_molecularQTL,FLOAT,,"[0.010547985322773457, 0.009728365577757359, 0.008792259730398655]",
training_gs,TEXT,,"[""high_medium""]",
training_clf,TEXT,,"[""xgboost""]",
ref,TEXT,,"[""G"", ""C"", ""A""]",
y_proba_logo_interaction,FLOAT,,"[0.011236511170864105, 0.009814477525651455, 0.009676314890384674]",
gene_id,TEXT,,"[""ENSG00000239474"", ""ENSG00000239697""]",
y_proba_logi_interaction,FLOAT,,"[0.027016155421733856, 0.08312072604894638, 0.06812436133623123]",
y_proba_logo_pathogenicity,FLOAT,,"[0.012834045104682446, 0.011792142875492573, 0.011257052421569824]",
training_fold,TEXT,,"[""fold3=12|2|7|17""]",
study_id,TEXT,,"[""GCST011521"", ""GCST008059"", ""GCST90025966""]",
y_proba_logi_distance,FLOAT,,"[0.009156674146652222, 0.008775304071605206, 0.007752847857773304]",
y_proba_logo_distance,FLOAT,,"[0.021092426031827927, 0.023806001991033554, 0.022378509864211082]",
y_proba_full_model,FLOAT,,"[0.012625353410840034, 0.011795265600085258, 0.011175764724612236]",
y_proba_dist_tss,FLOAT,,"[0.028209906071424484, 0.338593453168869, 0.02089153602719307]",
