column_name,column_type,column_description,sample_value,ref_key
species_common_name,TEXT,,"[""Serviceberry"", ""American Hornbeam"", ""Hardy Rubber Tree""]",
form,TEXT,,"[""Rounded""]",
tree_size,TEXT,,"[""Small (Mature Height < 25 ft)"", ""Medium (Mature Height 35-50 ft)"", ""Intermediate (Mature Height 25-35 ft)""]",
growth_rate,TEXT,,"[""Slow""]",
location_tolerances,TEXT,,"[""Small Tree Pit (<3 ft)""]",
fall_color,TEXT,,"[""Red/ Yellow"", ""Yellow/Orange"", ""Yellow""]",
environmental_tolerances,TEXT,,"[""Wet Site and Shade Tolerant"", ""Shade Tolerant"", ""Salt and Drought Tolerant""]",
species_scientific_name,TEXT,,"[""Amelanchier sp."", ""Carpinus caroliniana"", ""Eucommia ulmoides""]",
comments,TEXT,,"[""""]",
notes_suggested_cultivars,TEXT,,"[""'Autumn Sunset,' 'Cumulus,' and 'White Pillar'"", ""Plant Spring Only"", ""Tolerates Tough Conditions""]",
