column_name,column_type,column_description,sample_value,ref_key
minute_of_ems_arrival_at_hospital,NUMBER,,"[99, 11, 47]",
trafficway_identifier,TEXT,,"[""I-40"", ""I-84"", ""I-80""]",
minute_of_crash,NUMBER,,"[40, 17, 30]",
related_factors_crash_level_1_name,TEXT,,"[""None""]",
relation_to_junction_specific_location_name,TEXT,,"[""Non-Junction"", ""Entrance/Exit Ramp Related""]",
hour_of_arrival_at_scene,NUMBER,,"[99, 12, 15]",
atmospheric_conditions,NUMBER,,"[7, 11, 12]",
related_factors_crash_level_3,NUMBER,,[0],
number_of_drunk_drivers,NUMBER,,[0],
day_of_week,NUMBER,,"[4, 3, 7]",
hour_of_ems_arrival_at_hospital,NUMBER,,"[99, 14, 15]",
type_of_intersection,TEXT,,"[""Not an Intersection""]",
number_of_parked_working_vehicles,NUMBER,,"[1, 0]",
hour_of_notification,NUMBER,,"[99, 12, 14]",
school_bus_related,TEXT,,"[""No""]",
city,NUMBER,,[0],
relation_to_junction_within_interchange_area,TEXT,,"[""No"", ""Yes""]",
first_harmful_event,NUMBER,,"[12, 25]",
ownership_name,TEXT,,"[""State Highway Agency"", ""State Toll Road""]",
relation_to_trafficway_name,TEXT,,"[""On Roadway"", ""On Median""]",
special_jurisdiction,NUMBER,,[0],
minute_of_arrival_at_scene,NUMBER,,"[99, 38, 0]",
related_factors_crash_level_2_name,TEXT,,"[""None""]",
route_signing_name,TEXT,,"[""Interstate""]",
latitude,FLOAT,,"[35.20758056, 45.75349167, 41.32906111]",
atmospheric_conditions_1_name,TEXT,,"[""Blowing Sand, Soil, Dirt"", ""Blowing Snow"", ""Cloudy""]",
trafficway_identifier_2,TEXT,,"[""""]",
hour_of_crash,NUMBER,,"[16, 18, 11]",
atmospheric_conditions_name,TEXT,,"[""Blowing Sand, Soil, Dirt"", ""Blowing Snow"", ""Freezing Rain or Drizzle""]",
land_use_name,TEXT,,"[""Rural"", ""Urban""]",
state_number,NUMBER,,"[48, 41, 39]",
manner_of_collision,NUMBER,,"[1, 7, 0]",
number_of_forms_submitted_for_persons_in_motor_vehicles,NUMBER,,"[10, 14, 13]",
number_of_motor_vehicles_in_transport_mvit,NUMBER,,"[5, 11, 8]",
first_harmful_event_name,TEXT,,"[""Motor Vehicle in Transport"", ""Concrete Traffic Barrier""]",
year_of_crash,NUMBER,,[2015],
related_factors_crash_level_3_name,TEXT,,"[""None""]",
functional_system,NUMBER,,[1],
related_factors_crash_level_1,NUMBER,,[0],
national_highway_system,NUMBER,,[1],
atmospheric_conditions_2,NUMBER,,"[0, 7, 12]",
number_of_fatalities,NUMBER,,"[1, 2]",
relation_to_trafficway,NUMBER,,"[1, 3]",
day_of_crash,NUMBER,,"[27, 17, 14]",
minute_of_notification,NUMBER,,"[99, 20, 25]",
related_factors_crash_level_2,NUMBER,,[0],
timestamp_of_crash,NUMBER,,"[1432744800000000, 1447784220000000, 1423913400000000]",
county,NUMBER,,"[65, 59, 43]",
special_jurisdiction_name,TEXT,,"[""No Special Jurisdiction (Includes National Forests Since 2008)""]",
manner_of_collision_name,TEXT,,"[""Front-to-Rear"", ""Sideswipe – Same Direction"", ""Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for\n2005-2009)""]",
light_condition,NUMBER,,"[1, 2]",
milepoint,NUMBER,,"[189, 1910, 185]",
light_condition_name,TEXT,,"[""Daylight"", ""Dark – Not Lighted""]",
number_of_persons_in_motor_vehicles_in_transport_mvit,NUMBER,,"[5, 14, 13]",
rail_grade_crossing_identifier,TEXT,,"[""0000000""]",
number_of_persons_not_in_motor_vehicles_in_transport_mvit,NUMBER,,"[5, 0]",
consecutive_number,NUMBER,,"[481184, 410333, 390088]",
work_zone,TEXT,,"[""None""]",
functional_system_name,TEXT,,"[""Interstate""]",
month_of_crash,NUMBER,,"[5, 11, 2]",
longitude,FLOAT,,"[-101.30081111, -119.15018611, -82.49277778]",
relation_to_junction_specific_location,NUMBER,,"[1, 5]",
number_of_vehicle_forms_submitted_all,NUMBER,,"[6, 11, 8]",
state_name,TEXT,,"[""Texas"", ""Oregon"", ""Ohio""]",
number_of_forms_submitted_for_persons_not_in_motor_vehicles,NUMBER,,[0],
land_use,NUMBER,,"[1, 2]",
route_signing,NUMBER,,[1],
atmospheric_conditions_1,NUMBER,,"[7, 11, 10]",
atmospheric_conditions_2_name,TEXT,,"[""No Additional Atmospheric Conditions"", ""Blowing Sand, Soil, Dirt"", ""Freezing Rain or Drizzle""]",
ownership,NUMBER,,"[1, 31]",
