column_name,column_type,column_description,sample_value,ref_key
associated_entities__entity_gdc_id,TEXT,GDC entity uuid for associated entity(ies),"[""f89eb5a1-6a21-5767-ba15-320369e52791"", ""1c834a86-9bcf-5417-90f7-436f3e1c0fb1"", ""722d9d91-a0e9-5e17-a4d3-04bc6aa17645""]",
associated_entities__entity_type,TEXT,"Associated entity type, eg   aliquot   or   case  ","[""aliquot""]",
program_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000178","[""phs000218""]",
center_type,TEXT,"One of CGC, GSC, BCR, COM (or null)","[""GSC""]",
dbName,TEXT,"Referring to the default/main database at the GDC. In this table, this field is always legacy.","[""legacy""]",
case_gdc_id,TEXT,GDC unique identifier,"[""53e602f5-16ea-5971-805d-229fd5b4299b"", ""61be6aec-4102-5a4d-8f9a-690b15bb08a8"", ""bec9298a-dbcb-58da-af86-93d9c239f673""]",
center_short_name,TEXT,"Center abbreviation, eg WUSM","[""BCGSC""]",
metadata_file_type,TEXT,"Type of metadata file, eg mage-tab",[],
metadata_file_name,TEXT,Name of GDC metadata file,[],
file_size,NUMBER,The size of the file measured in bytes,"[1927619, 1938095, 1943921]",
project_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000189","[""phs000465"", ""phs000464""]",
updated_datetime,TEXT,"Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00","[""2017-12-16T00:38:35.718505-06:00"", ""2017-12-16T00:44:11.795913-06:00""]",
archive_gdc_id,TEXT,GDC archive UUID,[],
metadata_file_id,TEXT,GDC file UUID for metadata (eg mage-tab) file,[],
archive_state,TEXT,Archive state,[],
project_short_name,TEXT,"Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.","[""TARGET-AML"", ""TARGET-ALL-P2""]",
project_disease_type,TEXT,"The type of disease studied by the project; e.g. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc","[""Acute Myeloid Leukemia"", ""Acute Lymphoblastic Leukemia""]",
associated_entities__case_gdc_id,TEXT,GDC case uuid for associated case(s),"[""53e602f5-16ea-5971-805d-229fd5b4299b"", ""61be6aec-4102-5a4d-8f9a-690b15bb08a8"", ""bec9298a-dbcb-58da-af86-93d9c239f673""]",
acl,TEXT,"Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179","[""phs000218;phs000465"", ""phs000218;phs000464""]",
file_gdc_id,TEXT,Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba5,"[""a3bcdc70-e589-45b7-8822-e9a967a45fd1"", ""3c601eca-1cbc-4087-ae57-307d9e8da9ba"", ""110849a8-6769-45a6-9d8f-21c951a3db82""]",
experimental_strategy,TEXT,"Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq","[""RNA-Seq""]",
file_state,TEXT,File state -- either live or submitted,"[""submitted""]",
file_id,TEXT,GDC file identifier. This is a duplicate of file_gdc_id field found in some tables. ,"[""a3bcdc70-e589-45b7-8822-e9a967a45fd1"", ""3c601eca-1cbc-4087-ae57-307d9e8da9ba"", ""110849a8-6769-45a6-9d8f-21c951a3db82""]",
metadata_file_size,TEXT,Size of metadata file,[],
file_tags,TEXT,"Semicolon-delimited list of file tags, eg  coverage  , or  hg19;nocnv  , etc",[],
data_type,TEXT,"Experimental source of the data type, eg Tissue slide image, RNA-Seq","[""Gene expression quantification""]",
center_code,TEXT,"TCGA codes for the Professional Organization or Group (Center) which has submitted the data, more info: https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/center-codes","[""34""]",
index_file_size,NUMBER,"Where available, size of the index file in bytes ",[],
file_name,TEXT,Name of file at the GDC,"[""TARGET-20-PAMYAS-09A-03R.gene.quantification.txt"", ""TARGET-10-PANRDC-03A-01R.gene.quantification.txt"", ""TARGET-10-PAPIJM-09A-01R.gene.quantification.txt""]",
platform,TEXT,"Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.11","[""Illumina HiSeq""]",
access,TEXT,Data accessibility policy (open or controlled),"[""controlled""]",
file_submitter_id,TEXT,Original submitter file ID (eg CGHub analysis_id),"[""Public/AML/mRNA-seq/L3/expression/BCCA/TARGET-20-PAMYAS-09A-03R.gene.quantification.txt"", ""Public/ALL/mRNA-seq/Phase2/L3/expression/BCCA/TARGET-10-PANRDC-03A-01R.gene.quantification.txt"", ""Public/ALL/mRNA-seq/Phase2/L3/expression/BCCA/TARGET-10-PAPIJM-09A-01R.gene.quantification.txt""]",
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TARGET""]",
project_name,TEXT,Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc,"[""Acute Myeloid Leukemia"", ""Acute Lymphoblastic Leukemia - Phase II""]",
associated_entities__entity_submitter_id,TEXT,Submitter id for associated entity(ies),"[""TARGET-20-PAMYAS-09A-03R"", ""TARGET-10-PANRDC-03A-01R"", ""TARGET-10-PAPIJM-09A-01R""]",
index_file_name,TEXT,"Where available, GDC file name for index file ",[],
archive_revision,NUMBER,Archive revision number,[],
center_name,TEXT,"Center name, eg BCM, BI, WUGSC ","[""Canada's Michael Smith Genome Sciences Centre""]",
md5sum,TEXT,Md5sum for GDC data file,"[""f1558321b1fa6c8948635edce7bb95b2"", ""eb38f38defdd832978028cfc13d3ce7a"", ""92091964b8d45f660c13d1f8db414e45""]",
data_category,TEXT,"Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc","[""Gene expression""]",
created_datetime,TEXT,"Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:11","[""2017-06-23T00:14:41.713354-05:00"", ""2017-06-22T21:12:53.295112-05:00"", ""2017-06-22T21:17:41.208140-05:00""]",
archive_submitter_id,TEXT,"Original archive sumbitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56",[],
data_format,TEXT,"File format of the underlying data, eg BCR XML, BAM","[""TXT""]",
file_type,TEXT,"File Type  -- eg aligned_reads, simple_somatic_mutation, gene_expression, etc","[""file""]",
index_file_gdc_id,TEXT,"Where available, GDC file uuid for index file ",[],
