column_name,column_type,column_description,sample_value,ref_key
lsad,TEXT,,"[""M4""]",
geo_id,TEXT,,"[""770"", ""720""]",
mtfcc_feature_class_code,TEXT,,"[""G3200""]",
cnecta_geom,BINARY,,[],
int_point_lat,FLOAT,,"[42.5337519, 41.3603421]",
int_point_lon,FLOAT,,"[-73.1678825, -73.1284227]",
area_water_meters,NUMBER,,"[24514153, 374068423]",
name_lsad,TEXT,,"[""Pittsfield-North Adams, MA-VT Combined NECTA"", ""Bridgeport-New Haven-Stamford, CT Combined NECTA""]",
name,TEXT,,"[""Pittsfield-North Adams, MA-VT"", ""Bridgeport-New Haven-Stamford, CT""]",
cnecta_fips_code,TEXT,,"[""770"", ""720""]",
area_land_meters,NUMBER,,"[1524389768, 3940389150]",
